seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,wall_clock_seconds
1,1035,267,20,5,0.541,0.5207,0.5358,0.5212,0.5075,0.4866,123.7
2,992,310,19,6,0.3913,0.3715,0.4177,0.3956,0.36,0.3301,43.6
3,1004,298,19,6,0.4835,0.5082,0.4686,0.5012,0.4424,0.4687,45.8
4,1034,268,20,5,0.5757,0.5859,0.5459,0.5608,0.5242,0.532,45.7
5,1039,263,20,5,0.5928,0.5617,0.5919,0.5689,0.588,0.5476,46.9
6,1033,269,20,5,0.4291,0.4456,0.4659,0.4697,0.4593,0.4498,51.0
7,1021,281,20,5,0.4866,0.4862,0.4648,0.4754,0.4764,0.4827,49.1
8,1034,268,20,5,0.4388,0.4435,0.4459,0.456,0.4406,0.4618,46.4
9,1020,282,20,5,0.5033,0.5235,0.4916,0.5128,0.4712,0.4837,50.4
10,1021,281,20,5,0.519,0.5341,0.4992,0.5226,0.4886,0.4973,48.8
11,1029,273,20,5,0.6203,0.5939,0.6244,0.5987,0.5813,0.5375,46.1
12,1033,269,20,5,0.3626,0.3511,0.3632,0.3548,0.3641,0.3514,48.2
13,1002,300,19,6,0.371,0.3721,0.3829,0.3825,0.3518,0.354,45.5
14,1026,276,20,5,0.4937,0.4828,0.4845,0.4924,0.483,0.4643,46.2
15,1031,271,20,5,0.5635,0.5623,0.5612,0.5631,0.5872,0.5682,46.6
16,1029,273,20,5,0.4921,0.4697,0.4746,0.4671,0.4822,0.4612,46.6
17,1035,267,20,5,0.2839,0.2894,0.2997,0.3005,0.2712,0.2641,46.1
18,1024,278,20,5,0.4446,0.4432,0.4601,0.4528,0.4368,0.4154,46.5
19,1028,274,20,5,0.5108,0.5386,0.5039,0.5331,0.4707,0.4851,48.5
20,998,304,19,6,0.4536,0.457,0.4643,0.4743,0.4268,0.4432,42.8
21,1027,275,20,5,0.3328,0.3124,0.3571,0.3533,0.3581,0.3552,46.7
22,1035,267,20,5,0.423,0.3939,0.4368,0.4094,0.421,0.3793,45.8
23,1031,271,20,5,0.5321,0.5252,0.5185,0.5274,0.5006,0.489,46.0
24,1036,266,20,5,0.4678,0.4778,0.4823,0.4899,0.4814,0.4765,46.6
25,1033,269,20,5,0.5836,0.5664,0.5638,0.5545,0.5421,0.5229,45.5
26,1029,273,20,5,0.4839,0.5126,0.4737,0.5115,0.455,0.4879,45.8
27,1002,300,19,6,0.4345,0.4451,0.4673,0.4753,0.4356,0.451,46.2
28,1033,269,20,5,0.5316,0.5161,0.5145,0.4988,0.4687,0.4617,45.4
29,1033,269,20,5,0.6228,0.6071,0.623,0.6097,0.5884,0.5712,46.2
30,995,307,19,6,0.4873,0.4546,0.5105,0.4668,0.4471,0.3913,43.6
