seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,wall_clock_seconds
1,1086,277,20,5,0.7038,0.7053,0.7181,0.7145,0.7284,0.7214,75.1
2,1087,276,20,5,0.6448,0.6831,0.6533,0.6775,0.6774,0.7013,49.4
3,1054,309,19,6,0.6295,0.6256,0.623,0.6136,0.6595,0.6449,50.7
4,1082,281,20,5,0.6571,0.6778,0.6602,0.6776,0.6765,0.6851,48.2
5,1089,274,20,5,0.6694,0.6837,0.6612,0.6739,0.687,0.7028,49.5
6,1086,277,20,5,0.7703,0.7962,0.7544,0.778,0.7749,0.8012,47.9
7,1062,301,20,5,0.6929,0.7089,0.6997,0.709,0.726,0.7405,46.1
8,1078,285,20,5,0.7081,0.7134,0.7104,0.7067,0.7177,0.7111,48.2
9,1065,298,20,5,0.765,0.7639,0.7625,0.759,0.7886,0.7788,50.0
10,1062,301,20,5,0.7293,0.7595,0.7288,0.7529,0.7409,0.7792,46.0
11,1077,286,20,5,0.8054,0.8108,0.8029,0.8122,0.8096,0.816,48.3
12,1077,286,20,5,0.6924,0.6913,0.6838,0.6957,0.7041,0.711,49.3
13,1048,315,19,6,0.6013,0.5888,0.6255,0.6125,0.6436,0.6348,49.0
14,1069,294,20,5,0.7057,0.6849,0.7163,0.7013,0.7366,0.731,49.3
15,1078,285,20,5,0.7378,0.7547,0.7279,0.7434,0.7414,0.7654,48.0
16,1078,285,20,5,0.7604,0.7501,0.7542,0.7378,0.7714,0.7564,46.7
17,1076,287,20,5,0.6229,0.6496,0.6183,0.6435,0.6062,0.6328,48.9
18,1065,298,20,5,0.6514,0.657,0.6576,0.6608,0.6758,0.6836,46.3
19,1078,285,20,5,0.7022,0.6782,0.7058,0.6834,0.7113,0.6904,49.0
20,1038,325,19,6,0.7054,0.7235,0.6918,0.7103,0.7103,0.724,50.1
21,1068,295,20,5,0.7198,0.7511,0.7198,0.7504,0.7293,0.7604,47.4
22,1078,285,20,5,0.6962,0.7027,0.6764,0.692,0.6802,0.694,50.6
23,1081,282,20,5,0.7327,0.6899,0.7316,0.6914,0.7555,0.7207,47.9
24,1090,273,20,5,0.7382,0.7611,0.7265,0.7414,0.7449,0.7656,50.0
25,1084,279,20,5,0.6408,0.6489,0.6498,0.6552,0.6792,0.6974,49.2
26,1082,281,20,5,0.6428,0.6163,0.6587,0.6245,0.6648,0.6324,50.7
27,1055,308,19,6,0.655,0.6577,0.6589,0.6556,0.6844,0.6651,47.1
28,1083,280,20,5,0.6379,0.6258,0.6433,0.6197,0.6617,0.6535,51.3
29,1087,276,20,5,0.8111,0.8214,0.812,0.8234,0.8037,0.8126,50.0
30,1033,330,19,6,0.6829,0.6972,0.6813,0.6971,0.7154,0.7237,46.6
31,1019,344,19,6,0.7183,0.7438,0.7009,0.7163,0.7183,0.7309,48.1
32,1071,292,20,5,0.6454,0.6317,0.6462,0.6242,0.6709,0.6503,46.2
33,1056,307,19,6,0.5842,0.5853,0.5964,0.5708,0.6264,0.6224,47.0
34,1051,312,19,6,0.6358,0.6265,0.6307,0.6241,0.6558,0.6579,51.8
35,1067,296,20,5,0.7932,0.8025,0.7908,0.7989,0.801,0.8131,49.8
36,1058,305,19,6,0.7772,0.7664,0.7736,0.7606,0.7947,0.7764,49.0
37,1073,290,20,5,0.7728,0.7947,0.7639,0.7799,0.7775,0.7961,49.4
38,1088,275,20,5,0.601,0.6458,0.6032,0.6431,0.6234,0.6669,46.9
39,1074,289,20,5,0.756,0.7637,0.7474,0.7452,0.7456,0.7561,49.5
40,1061,302,19,6,0.7985,0.7788,0.7821,0.7656,0.8027,0.7893,48.8
41,1080,283,20,5,0.78,0.7916,0.7754,0.7893,0.7785,0.7901,47.0
42,1087,276,20,5,0.5744,0.5888,0.5965,0.5964,0.6107,0.5973,50.1
43,1055,308,19,6,0.7438,0.7639,0.7419,0.7569,0.7611,0.7776,47.6
44,1065,298,20,5,0.6549,0.6544,0.6571,0.6557,0.6859,0.682,52.3
45,1071,292,19,6,0.6916,0.6926,0.7049,0.7051,0.7121,0.7272,46.5
46,1041,322,19,6,0.7263,0.7187,0.727,0.7185,0.7468,0.7396,48.5
47,1090,273,20,5,0.6595,0.6876,0.6776,0.6991,0.6888,0.7087,49.3
