seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,wall_clock_seconds
1,1027,264,20,5,0.5648,0.6166,0.5727,0.6309,0.5585,0.6188,123.7
2,985,306,19,6,0.4798,0.4781,0.4831,0.4705,0.4976,0.4839,40.5
3,998,293,19,6,0.5715,0.5697,0.5654,0.5639,0.5301,0.5364,40.2
4,1026,265,20,5,0.5234,0.5662,0.5185,0.5637,0.4955,0.5398,43.2
5,1030,261,20,5,0.5275,0.5179,0.5658,0.5353,0.5296,0.5021,44.8
6,1021,270,20,5,0.4985,0.4535,0.4801,0.4489,0.5041,0.4509,50.0
7,1013,278,20,5,0.631,0.6051,0.6406,0.6073,0.6359,0.6112,45.5
8,1026,265,20,5,0.5313,0.5085,0.5388,0.5093,0.526,0.5008,44.5
9,1010,281,20,5,0.5289,0.5536,0.5282,0.5595,0.5248,0.5612,44.6
10,1013,278,20,5,0.593,0.5696,0.6111,0.5772,0.6037,0.5809,44.1
11,1020,271,20,5,0.4866,0.5065,0.491,0.5106,0.5043,0.5209,43.6
12,1025,266,20,5,0.6266,0.606,0.66,0.6392,0.6202,0.5976,43.5
13,994,297,19,6,0.6283,0.6073,0.6329,0.6296,0.6054,0.5887,40.0
14,1020,271,20,5,0.6274,0.6653,0.6236,0.6702,0.5841,0.6276,43.6
15,1022,269,20,5,0.6293,0.6146,0.626,0.5962,0.6115,0.5805,43.5
16,1021,270,20,5,0.5685,0.5924,0.5915,0.634,0.5513,0.5954,45.9
17,1027,264,20,5,0.4394,0.436,0.4602,0.45,0.4431,0.4257,44.3
18,1017,274,20,5,0.5041,0.5222,0.5124,0.5319,0.4762,0.4959,43.5
19,1019,272,20,5,0.5785,0.5928,0.5841,0.5982,0.5628,0.585,43.2
20,990,301,19,6,0.5141,0.5012,0.5185,0.49,0.4971,0.4796,40.5
21,1018,273,20,5,0.5868,0.5585,0.6084,0.5766,0.5874,0.5569,43.8
22,1027,264,20,5,0.5934,0.5996,0.6226,0.6156,0.6007,0.5968,43.5
23,1025,266,20,5,0.6039,0.6582,0.5905,0.6546,0.5598,0.6221,43.5
24,1025,266,20,5,0.5373,0.5184,0.5292,0.5179,0.5344,0.5138,45.9
25,1024,267,20,5,0.6067,0.6083,0.5949,0.589,0.5838,0.589,47.0
26,1022,269,20,5,0.5445,0.5629,0.5158,0.5465,0.5373,0.5631,43.3
27,994,297,19,6,0.482,0.4932,0.4706,0.482,0.4424,0.4522,40.3
28,1024,267,20,5,0.5847,0.5483,0.6054,0.5634,0.584,0.539,43.4
29,1022,269,20,5,0.5457,0.5559,0.5434,0.5564,0.5504,0.562,43.3
30,987,304,19,6,0.4579,0.4433,0.4691,0.4404,0.4873,0.4558,40.3
31,1024,267,20,5,0.5554,0.5365,0.5828,0.5694,0.5627,0.5454,43.5
32,1025,266,20,5,0.5694,0.5839,0.5851,0.6082,0.5535,0.5777,43.8
33,998,293,19,6,0.627,0.6099,0.6396,0.6335,0.63,0.6162,40.5
34,1001,290,19,6,0.5707,0.5568,0.5862,0.5676,0.5642,0.5504,43.7
35,1012,279,20,5,0.5318,0.5454,0.5229,0.532,0.5104,0.5273,42.9
36,996,295,19,6,0.5488,0.5539,0.5489,0.5564,0.5374,0.5416,40.6
37,1015,276,20,5,0.4768,0.4787,0.4836,0.4867,0.5153,0.5061,43.3
38,984,307,19,6,0.5002,0.4881,0.4786,0.4563,0.5042,0.4793,40.4
39,1020,271,20,5,0.538,0.5065,0.563,0.5217,0.5521,0.5113,43.4
40,1002,289,19,6,0.5557,0.5923,0.5599,0.6104,0.5298,0.5785,43.7
41,1021,270,20,5,0.5458,0.5157,0.5665,0.5317,0.5688,0.5263,43.6
42,984,307,19,6,0.4773,0.4964,0.4631,0.4906,0.4797,0.5044,40.9
43,995,296,19,6,0.5641,0.5308,0.5712,0.5416,0.5934,0.5664,40.8
44,1016,275,20,5,0.6229,0.5999,0.6336,0.5971,0.6224,0.5898,43.4
45,1029,262,20,5,0.6007,0.6106,0.5988,0.6038,0.5893,0.5945,43.4
46,991,300,19,6,0.6211,0.642,0.629,0.6549,0.6065,0.6398,40.3
47,982,309,19,6,0.4633,0.4691,0.4633,0.4667,0.47,0.4733,40.9
48,1017,274,20,5,0.5956,0.6194,0.6011,0.623,0.5827,0.6022,43.8
49,1027,264,19,6,0.609,0.5733,0.6236,0.5818,0.6021,0.5651,43.6
50,1001,290,19,6,0.5382,0.5437,0.5329,0.5426,0.5238,0.5348,42.4
51,985,306,19,6,0.592,0.5741,0.5927,0.5773,0.6014,0.5747,40.3
52,1020,271,20,5,0.522,0.5239,0.5207,0.5211,0.526,0.5391,44.2
53,1015,276,20,5,0.6115,0.5976,0.6233,0.6014,0.5883,0.5722,44.3
54,995,296,19,6,0.527,0.5481,0.4962,0.5275,0.513,0.5415,40.1
55,1012,279,20,5,0.56,0.5493,0.5533,0.5536,0.5564,0.5535,48.0
56,981,310,19,6,0.5294,0.5504,0.5283,0.5602,0.4771,0.5084,42.5
57,1016,275,20,5,0.5501,0.6069,0.5443,0.609,0.5403,0.6025,43.8
58,1030,261,20,5,0.4707,0.4525,0.4822,0.4717,0.4766,0.4474,44.4
59,1024,267,20,5,0.5972,0.6015,0.6037,0.6109,0.6122,0.6041,43.4
60,1021,270,20,5,0.5131,0.5513,0.5229,0.5726,0.5065,0.554,43.4
61,995,296,19,6,0.5244,0.497,0.5291,0.5002,0.5359,0.501,40.5
62,995,296,19,6,0.5484,0.538,0.5518,0.5396,0.5451,0.5247,43.2
63,1012,279,20,5,0.6245,0.6282,0.6393,0.6345,0.6212,0.6297,42.6
64,1028,263,20,5,0.5343,0.5402,0.5579,0.5658,0.5258,0.5283,43.4
65,1012,279,20,5,0.5499,0.5864,0.5537,0.5999,0.5457,0.5915,43.1
66,1014,277,20,5,0.5474,0.5593,0.5532,0.5633,0.5282,0.5422,48.2
67,1028,263,20,5,0.5607,0.547,0.5632,0.545,0.5536,0.5312,43.6
68,994,297,19,6,0.5049,0.5217,0.5114,0.5058,0.5094,0.5028,40.1
69,980,311,19,6,0.5566,0.569,0.5738,0.5753,0.5388,0.5481,40.1
70,1018,273,20,5,0.5738,0.5841,0.5802,0.5877,0.5624,0.5722,44.7
71,983,308,19,6,0.5669,0.5403,0.5609,0.5181,0.5669,0.532,40.1
72,1022,269,20,5,0.5424,0.5902,0.5477,0.5957,0.5338,0.5812,45.0
73,1021,270,20,5,0.5319,0.5512,0.5182,0.5303,0.5283,0.5427,43.3
74,1020,271,20,5,0.5509,0.5333,0.5545,0.5337,0.5702,0.5325,43.5
75,1021,270,20,5,0.6343,0.6317,0.6459,0.6465,0.6409,0.6366,43.3
76,1019,272,20,5,0.5389,0.5555,0.5364,0.5591,0.5413,0.5609,43.2
77,1023,268,20,5,0.6176,0.6081,0.6153,0.6095,0.5943,0.5881,43.3
78,1001,290,19,6,0.6754,0.6975,0.6944,0.7162,0.6667,0.6863,45.3
79,1022,269,20,5,0.4534,0.4597,0.4667,0.4689,0.4629,0.46,43.5
80,986,305,19,6,0.5934,0.5913,0.5933,0.5885,0.5981,0.5917,40.0
