seed,n_train,n_test,n_families_train,n_families_test,gagblup_pearson,gagblup_spearman,bayesb_pearson,bayesb_spearman,gagblup_seconds,bayesb_seconds,wall_clock_seconds
1,1086,277,20,5,nan,nan,0.772694445960778,0.763214016400529,nan,361.759219169617,401.8
2,1087,276,20,5,nan,nan,0.734272340175563,0.772852206591585,nan,362.117420196533,405.6
3,1054,309,19,6,nan,nan,0.658415905896816,0.684115882371187,nan,368.185412406921,407.4
4,1082,281,20,5,nan,nan,0.741253163573812,0.754609319283461,nan,338.603217601776,377.1
5,1089,274,20,5,nan,nan,0.714438803502818,0.73756571710775,nan,367.907046079636,407.8
6,1086,277,20,5,nan,nan,0.785119759929712,0.7970513754992,nan,369.100248813629,409.0
7,1062,301,20,5,nan,nan,0.719403949948499,0.720452442957686,nan,359.891206502914,398.8
8,1078,285,20,5,nan,nan,0.731013222746222,0.700777231869966,nan,353.476464748383,392.7
9,1065,298,20,5,nan,nan,0.825979666811219,0.803837026704551,nan,368.772860765457,410.6
10,1062,301,20,5,nan,nan,0.795025411968463,0.819278121553812,nan,336.511224746704,376.1
11,1077,286,20,5,nan,nan,0.81561160560019,0.814042349570737,nan,365.788209915161,405.1
12,1077,286,20,5,nan,nan,0.776229403748565,0.760851578330235,nan,358.836772918701,397.7
13,1048,315,19,6,nan,nan,0.663518019778991,0.637264732374459,nan,370.314121961594,409.2
14,1069,294,20,5,nan,nan,0.77769728755837,0.766887036834808,nan,361.056829452515,400.7
15,1078,285,20,5,nan,nan,0.812711954859014,0.833993212556471,nan,346.331833839417,391.3
16,1078,285,20,5,nan,nan,0.808038786276395,0.761410926303895,nan,361.439310073853,400.7
17,1076,287,20,5,nan,nan,0.690938057413033,0.7196752132265,nan,345.792405366898,385.3
18,1065,298,20,5,nan,nan,0.736910454487089,0.736518768781822,nan,361.653928518295,400.5
19,1078,285,20,5,nan,nan,0.724168192659967,0.707238645737115,nan,341.842426300049,385.4
20,1038,325,19,6,nan,nan,0.741826688782808,0.731802404588201,nan,396.416711807251,435.2
21,1068,295,20,5,nan,nan,0.779680881998565,0.78922594688074,nan,374.940066814423,413.6
22,1078,285,20,5,nan,nan,0.752818386985262,0.735150937904455,nan,363.38888001442,402.5
23,1081,282,20,5,nan,nan,0.745979332712769,0.709762824875285,nan,355.816487073898,394.5
24,1090,273,20,5,nan,nan,0.780171847019219,0.794391914337784,nan,366.486747980118,406.2
25,1084,279,20,5,nan,nan,0.733744024029306,0.762883459537971,nan,339.201367378235,377.9
26,1082,281,20,5,nan,nan,0.695025066129394,0.665348658002211,nan,367.13435959816,410.8
27,1055,308,19,6,nan,nan,0.725150341340879,0.725971920352879,nan,355.23143696785,394.2
28,1083,280,20,5,nan,nan,0.699214054370324,0.701257271530867,nan,342.432774543762,381.4
29,1087,276,20,5,nan,nan,0.839594545289324,0.837828031091261,nan,359.077839374542,397.9
30,1033,330,19,6,nan,nan,0.758076594040188,0.774119065316919,nan,365.01435303688,404.2
31,1019,344,19,6,nan,nan,0.774704403816455,0.779970513580614,nan,363.607390880585,405.2
32,1071,292,20,5,nan,nan,0.662271182053786,0.621700932114906,nan,350.400284051895,392.7
33,1056,307,19,6,nan,nan,0.688246882773632,0.686902230966261,nan,362.741801977158,401.6
34,1051,312,19,6,nan,nan,0.70688779408844,0.722189372199248,nan,353.137169361115,393.7
35,1067,296,20,5,nan,nan,0.836980449518821,0.845433094291113,nan,355.528512001038,394.4
36,1058,305,19,6,nan,nan,0.818382683040352,0.797605373792193,nan,362.059356927872,400.8
37,1073,290,20,5,nan,nan,0.807961193208654,0.814349606510328,nan,369.486052751541,415.8
38,1088,275,20,5,nan,nan,0.663835524864359,0.714114043813749,nan,357.192229270935,396.4
39,1074,289,20,5,nan,nan,0.745241084055305,0.744168611277816,nan,354.537938833237,393.6
40,1061,302,19,6,nan,nan,0.819224722544051,0.783683804065604,nan,336.796129465103,376.1
41,1080,283,20,5,nan,nan,0.825541345572972,0.836155539385039,nan,355.209669113159,395.0
42,1087,276,20,5,nan,nan,0.657725477688118,0.642522233969469,nan,358.154421329498,396.9
43,1055,308,19,6,nan,nan,0.808691629458703,0.823617271382174,nan,345.752390146255,384.8
44,1065,298,20,5,nan,nan,0.689871850986485,0.662445082983576,nan,340.614642620087,379.3
45,1071,292,19,6,nan,nan,0.788186291829821,0.793168241783987,nan,348.260796785355,387.2
46,1041,322,19,6,nan,nan,0.778888977440875,0.762236489713263,nan,348.704243898392,388.7
47,1090,273,20,5,nan,nan,0.761227018140533,0.789105418656881,nan,337.469096183777,376.3
48,1068,295,20,5,nan,nan,0.804087599462219,0.831527399199176,nan,355.804756879807,395.3
49,1037,326,18,7,nan,nan,0.777902394440287,0.763983131092504,nan,355.339854240417,394.2
50,1070,293,19,6,nan,nan,0.798415730700464,0.815955745656419,nan,352.388996124268,391.4
51,1039,324,19,6,nan,nan,0.82559850889579,0.837613676209832,nan,360.710274934769,400.5
52,1077,286,20,5,nan,nan,0.788842158479416,0.74829632813172,nan,329.036641836166,368.3
53,1053,310,20,5,nan,nan,0.671375696034661,0.709209942517837,nan,347.236892938614,386.9
54,1061,302,19,6,nan,nan,0.833960117631627,0.828016291323291,nan,367.24161362648,407.2
55,1068,295,20,5,nan,nan,0.749881689002786,0.731650333827446,nan,353.197038173676,397.5
56,1042,321,19,6,nan,nan,0.800095749998344,0.763542321401648,nan,333.91055059433,373.0
57,1074,289,20,5,nan,nan,0.793735412384576,0.770075317650268,nan,354.060556650162,397.5
58,1088,275,20,5,nan,nan,0.59592378049771,0.565837296808527,nan,332.971392631531,372.7
59,1086,277,20,5,nan,nan,0.767217557454966,0.784399373624299,nan,342.284353971481,382.4
60,1073,290,20,5,nan,nan,0.677057680167621,0.647097539514319,nan,361.613488435745,402.7
61,1052,311,19,6,nan,nan,0.701327486073164,0.682678884835262,nan,354.753619194031,403.2
62,1056,307,19,6,nan,nan,0.787642597931652,0.806635562321591,nan,349.646803617477,395.9
63,1061,302,20,5,nan,nan,0.784166668764999,0.790000612064429,nan,341.791619777679,383.4
64,1090,273,20,5,nan,nan,0.681366767683671,0.654153723310312,nan,355.454444408417,395.1
65,1057,306,20,5,nan,nan,0.715084957696749,0.666199450633561,nan,355.332563638687,394.3
66,1059,304,20,5,nan,nan,0.779019782450557,0.772043561500126,nan,349.164516448975,389.0
67,1083,280,20,5,nan,nan,0.690133572981495,0.707972914553059,nan,335.569307565689,377.0
68,1047,316,19,6,nan,nan,0.764781419737742,0.793766829693539,nan,362.72682762146,402.6
69,1035,328,19,6,nan,nan,0.730341514307055,0.73083863711327,nan,328.635203838348,370.1
70,1074,289,20,5,nan,nan,0.726601135104569,0.745323136781972,nan,341.254314184189,381.1
71,1035,328,19,6,nan,nan,0.75844837619003,0.780941926466498,nan,358.915575742722,398.4
72,1081,282,20,5,nan,nan,0.766118866422111,0.760801753098454,nan,356.845619440079,396.5
73,1071,292,20,5,nan,nan,0.750003931657718,0.773748576963819,nan,352.598335266113,391.6
74,1067,296,20,5,nan,nan,0.766866596545511,0.77005825153411,nan,359.111040353775,398.4
75,1075,288,20,5,nan,nan,0.699551962823259,0.710786522660083,nan,352.15186047554,391.3
76,1079,284,20,5,nan,nan,0.761013355570275,0.724621160115061,nan,376.307637453079,415.8
77,1080,283,20,5,nan,nan,0.723156685727395,0.733669213580612,nan,358.593757152557,398.4
78,1054,309,19,6,nan,nan,0.77149430570813,0.783899043453362,nan,350.410258054733,389.1
79,1073,290,20,5,nan,nan,0.72641956943367,0.742814208410676,nan,340.494510650635,379.7
80,1089,274,20,5,nan,nan,0.815724190003525,0.826548568008729,nan,383.886000871658,423.7
81,1073,290,20,5,nan,nan,0.821146857838621,0.817288521934529,nan,345.337376594543,384.0
82,1086,277,20,5,nan,nan,0.73238233690931,0.770811169681421,nan,355.259970188141,394.7
83,1074,289,20,5,nan,nan,0.638624046187575,0.648493548625776,nan,367.753081321716,407.7
84,1078,285,20,5,nan,nan,0.802381450154631,0.792393086775303,nan,362.978731632233,402.5
85,1061,302,19,6,nan,nan,0.646680904184248,0.663119148171678,nan,372.853398561478,412.1
86,1083,280,20,5,nan,nan,0.668712854961063,0.707715714471102,nan,341.843338251114,381.4
87,1066,297,20,5,nan,nan,0.816085775267466,0.820649528653842,nan,365.421966552734,404.2
88,1084,279,20,5,nan,nan,0.768179301318948,0.718714212680084,nan,347.115096092224,386.3
89,1078,285,20,5,nan,nan,0.786396880775038,0.79326726929323,nan,328.866102457047,368.4
90,1042,321,19,6,nan,nan,0.800344811403758,0.821926105714706,nan,354.593679666519,394.1
91,1071,292,20,5,nan,nan,0.831262873313621,0.820416777403583,nan,356.359132766724,395.8
92,1045,318,19,6,nan,nan,0.753290807422004,0.771995466788606,nan,351.948566913605,390.8
93,1081,282,20,5,nan,nan,0.720372007528038,0.725855289508338,nan,366.028137683868,405.2
94,1050,313,19,6,nan,nan,0.71703331958411,0.701314430360853,nan,340.715827703476,380.5
95,1055,308,19,6,nan,nan,0.766168149452254,0.779956739166927,nan,363.473835468292,402.4
96,1066,297,20,5,nan,nan,0.679526945405857,0.703492173675383,nan,331.778963088989,370.2
97,1085,278,20,5,nan,nan,0.790817509807544,0.785470235523217,nan,356.623549938202,396.2
98,1081,282,20,5,nan,nan,0.718204410257851,0.699694465903648,nan,366.85604596138,406.5
99,1036,327,19,6,nan,nan,0.717672351499287,0.763960428669809,nan,368.689309597015,408.1
100,1040,323,19,6,nan,nan,0.755088584476112,0.747885308651238,nan,352.511340379715,391.4
