seed,n_train,n_test,n_families_train,n_families_test,gagblup_pearson,gagblup_spearman,bayesb_pearson,bayesb_spearman,gagblup_seconds,bayesb_seconds,wall_clock_seconds
1,1027,264,20,5,nan,nan,0.573342437619129,0.621327332280632,nan,357.36591386795,400.3
2,985,306,19,6,nan,nan,0.473343434514413,0.462410435036108,nan,358.991038560867,401.5
3,998,293,19,6,nan,nan,0.594920672105704,0.599436314126765,nan,348.692731380463,395.2
4,1026,265,20,5,nan,nan,0.532194671449931,0.565105049125783,nan,373.966765165329,410.8
5,1030,261,20,5,nan,nan,0.568662726262638,0.531481558352498,nan,390.077733516693,428.0
6,1021,270,20,5,nan,nan,0.477470299404664,0.414923659680826,nan,389.736543655396,430.1
7,1013,278,20,5,nan,nan,0.658503800769178,0.62559842335887,nan,381.131573915482,418.3
8,1026,265,20,5,nan,nan,0.506273985423076,0.49436104346881,nan,394.196951150894,431.8
9,1010,281,20,5,nan,nan,0.513108228281293,0.533496324519896,nan,382.580278396606,420.6
10,1013,278,20,5,nan,nan,0.638301556941653,0.60293574303062,nan,390.329922199249,428.2
11,1020,271,20,5,nan,nan,0.493561003457261,0.506455694963584,nan,399.461089372635,436.9
12,1025,266,20,5,nan,nan,0.638109743563326,0.600031082711064,nan,386.691563367844,424.6
13,994,297,19,6,nan,nan,0.671621466159883,0.639312320397651,nan,375.979601860046,413.4
14,1020,271,20,5,nan,nan,0.599003578500569,0.638824792060859,nan,388.107246875763,425.8
15,1022,269,20,5,nan,nan,0.602946904851278,0.579407082039099,nan,377.159451246262,415.4
16,1021,270,20,5,nan,nan,0.575108735041198,0.599553352876059,nan,351.41776227951,388.8
17,1027,264,20,5,nan,nan,0.488071416516167,0.456309921358552,nan,357.32440662384,394.9
18,1017,274,20,5,nan,nan,0.503825869204951,0.524358694460118,nan,359.133151531219,396.6
19,1019,272,20,5,nan,nan,0.613543797445784,0.635985743706162,nan,383.317545175552,421.2
20,990,301,19,6,nan,nan,0.546529807356962,0.51132739842789,nan,375.326561450958,412.2
21,1018,273,20,5,nan,nan,0.614712135086878,0.570794373065501,nan,385.13617682457,422.4
22,1027,264,20,5,nan,nan,0.643201270853871,0.633416846755339,nan,391.356234312057,429.9
