seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,2687,683,27,9,0.4172,0.4102,0.4426,0.4361,0.4113,0.4059,0.478750171567682,0.470002529067453
2,2643,727,28,8,0.4478,0.4349,0.4533,0.4315,0.4486,0.4373,0.448176932832085,0.421392611971453
3,2648,722,28,8,0.3964,0.3919,0.4409,0.4316,0.4197,0.4168,0.483714974652355,0.45766057626163
4,2579,791,27,9,0.3733,0.3812,0.4402,0.435,0.3981,0.4033,0.446293691579724,0.427363852050967
5,2651,719,29,7,0.4312,0.4228,0.4986,0.4788,0.4558,0.4485,0.504204197993357,0.51487199025768
6,2566,804,28,8,0.4119,0.4008,0.4419,0.4299,0.4038,0.3966,0.50044709543939,0.488621667475197
7,2649,721,29,7,0.451,0.4351,0.4884,0.4564,0.4383,0.4255,0.431699437341279,0.399335670039518
8,2668,702,29,7,0.4463,0.4175,0.4691,0.4355,0.4128,0.3775,0.491848168815242,0.462304678790245
9,2683,687,28,8,0.4289,0.4083,0.5236,0.4948,0.4521,0.4343,0.494788525122061,0.446933509591406
10,2571,799,28,8,0.3707,0.3629,0.4584,0.4465,0.4066,0.4007,0.529275503420303,0.528371250477427
11,2602,768,28,8,0.4069,0.3938,0.4823,0.4591,0.3746,0.3579,0.429697945405459,0.41527924143432
12,2639,731,27,9,0.4257,0.4269,0.4986,0.5003,0.4462,0.456,0.518480714412252,0.515598132986963
13,2628,742,27,9,0.3843,0.3901,0.4652,0.4683,0.3943,0.4043,0.45514995150032,0.443947521247151
14,2656,714,30,6,0.3705,0.3617,0.429,0.4075,0.3799,0.3714,0.422412511205049,0.404433068817422
15,2637,733,27,9,0.4147,0.4186,0.5118,0.5058,0.4697,0.4721,0.529920320126245,0.52250834610601
16,2607,763,27,9,0.4297,0.4185,0.471,0.4504,0.4497,0.4418,0.410141800741586,0.391258358848641
17,2664,706,27,9,0.3292,0.3106,0.43,0.4098,0.3543,0.3382,0.48899315150245,0.468318598141451
18,2622,748,27,9,0.4452,0.4528,0.5277,0.5226,0.4769,0.4744,0.569697992692049,0.561071373541241
19,2666,704,30,6,0.3792,0.3563,0.3557,0.3393,0.3506,0.3371,0.277372573256716,0.265075657893546
20,2671,699,30,6,0.3426,0.3245,0.4243,0.4027,0.3568,0.3356,0.383779096590858,0.372342927642107
21,2646,724,29,7,0.3939,0.371,0.4615,0.4291,0.3872,0.3623,0.495012318448566,0.470115529577421
22,2692,678,27,9,0.3806,0.3652,0.4932,0.4702,0.4154,0.3981,0.518681284486327,0.495899770903322
23,2617,753,27,9,0.4026,0.3956,0.4655,0.4429,0.429,0.4233,0.484755057230648,0.452932772032151
24,2691,679,30,6,0.3631,0.3548,0.4419,0.436,0.3827,0.3785,0.47405593096312,0.472688730392221
25,2600,770,28,8,0.372,0.3606,0.363,0.348,0.3267,0.3106,0.424698893722588,0.410880246770416
26,2663,707,28,8,0.4282,0.4278,0.4641,0.4523,0.3781,0.3736,0.528419072381401,0.522857322081754
27,2647,723,28,8,0.3165,0.3037,0.3826,0.3639,0.2996,0.2838,0.463413223379382,0.439763944153832
28,2626,744,28,8,0.2812,0.2846,0.3383,0.3331,0.2815,0.2831,0.411911624944512,0.402027776961503
29,2687,683,27,9,0.4065,0.3872,0.4344,0.4113,0.4121,0.3921,0.498143955712272,0.472898717936916
30,2680,690,29,7,0.2935,0.2893,0.3795,0.3875,0.3202,0.3221,0.456715641405089,0.47851776189653
31,2558,812,29,7,0.3579,0.3473,0.4101,0.4,0.3673,0.3568,0.448276276800942,0.431737272936426
32,2656,714,29,7,0.4714,0.468,0.4983,0.4885,0.4894,0.4874,0.469869011252664,0.455164965176384
33,2591,779,27,9,0.3897,0.3825,0.4463,0.4338,0.401,0.3998,0.469141078207176,0.458986318002983
34,2674,696,29,7,0.3257,0.3153,0.3827,0.3615,0.331,0.3211,0.569609007798218,0.559878371778653
35,2633,737,30,6,0.3381,0.3119,0.4446,0.4138,0.3441,0.3137,0.445662439539128,0.415755018451621
36,2645,725,30,6,0.3348,0.3189,0.4842,0.4699,0.3244,0.3101,0.546227429975494,0.548030864997496
37,2646,724,30,6,0.4647,0.4606,0.5124,0.5114,0.4709,0.4728,0.536345006851923,0.522875266667934
38,2629,741,29,7,0.3265,0.3328,0.3008,0.3087,0.3039,0.3096,0.319397974599835,0.328228588147943
39,2645,725,28,8,0.4049,0.4011,0.5001,0.4941,0.4496,0.4524,0.55647314017919,0.555265382662199
40,2682,688,30,6,0.4463,0.448,0.4984,0.4999,0.4703,0.4663,0.464798965438887,0.451611135561431
41,2648,722,28,8,0.4182,0.4149,0.4713,0.464,0.4335,0.4211,0.454202269308768,0.446920001811777
42,2662,708,27,9,0.3966,0.3899,0.4492,0.4387,0.421,0.4151,0.534293638420997,0.514587437063693
43,2595,775,29,7,0.3998,0.3885,0.342,0.3262,0.3848,0.3707,0.399872640183428,0.389009080898272
44,2673,697,28,8,0.3498,0.3448,0.3993,0.3861,0.3244,0.3247,0.452013020880205,0.438491055148445
45,2690,680,30,6,0.42,0.4146,0.4389,0.4256,0.4148,0.4033,0.470406345975037,0.45306005999615
46,2594,776,29,7,0.3611,0.3449,0.3812,0.3667,0.3568,0.3398,0.392129023281026,0.398164244356524
47,2607,763,28,8,0.2914,0.2784,0.3652,0.3475,0.2942,0.2755,0.458553540498283,0.438936769660149
48,2694,676,28,8,0.3306,0.3198,0.4196,0.4,0.3538,0.3359,0.444076112843822,0.419904032480268
49,2669,701,28,8,0.4584,0.4613,0.5111,0.4887,0.4691,0.4585,0.490285987813822,0.461156911196023
50,2566,804,28,8,0.4228,0.4041,0.4592,0.4335,0.4435,0.4281,0.497497355047049,0.474275688896531
51,2653,717,27,9,0.4866,0.4817,0.518,0.4994,0.4988,0.489,0.527976834836066,0.513252637234301
52,2685,685,29,7,0.3731,0.3691,0.4543,0.4439,0.3998,0.4076,0.51887257977696,0.508296738817007
53,2686,684,30,6,0.3993,0.3962,0.4508,0.4483,0.3752,0.376,0.382298316166427,0.366448809673664
54,2629,741,27,9,0.345,0.3234,0.4295,0.4021,0.3456,0.3178,0.491596118348736,0.463910083928553
55,2662,708,29,7,0.3714,0.3571,0.3517,0.3335,0.3606,0.3432,0.389023185109767,0.378708866348142
56,2687,683,28,8,0.3908,0.3847,0.4596,0.4496,0.4301,0.4237,0.443505787282045,0.432734388510398
57,2622,748,29,7,0.3071,0.285,0.3384,0.3226,0.2974,0.2813,0.568901582637475,0.553141541514848
58,2591,779,28,8,0.3143,0.3225,0.3859,0.3872,0.3421,0.3497,0.432097092450337,0.427144207627262
59,2671,699,29,7,0.4569,0.4506,0.5061,0.5023,0.4371,0.4314,0.531254067663751,0.528904797073796
60,2656,714,29,7,0.3339,0.3202,0.3978,0.3719,0.3204,0.2989,0.470860868005329,0.450753180327174
61,2684,686,29,7,0.383,0.3831,0.4764,0.4673,0.3806,0.3695,0.485573784085491,0.481176112310859
62,2684,686,29,7,0.4821,0.4839,0.4512,0.4577,0.4975,0.495,0.493585610171574,0.496527499508755
63,2654,716,30,6,0.3489,0.3337,0.3827,0.3537,0.3568,0.3375,0.507293720728107,0.487985976412696
64,2655,715,28,8,0.3449,0.3235,0.3733,0.3537,0.3612,0.3456,0.497344205090904,0.486291439395237
65,2611,759,27,9,0.4318,0.4226,0.4931,0.4747,0.4429,0.4333,0.505604256172936,0.483203841938495
66,2676,694,29,7,0.3716,0.3592,0.4444,0.4265,0.3845,0.3763,0.484718765492937,0.471345434939941
67,2615,755,28,8,0.4447,0.4401,0.4175,0.4185,0.4699,0.4629,0.426525206759779,0.42998474450833
68,2651,719,29,7,0.3294,0.3234,0.289,0.2835,0.3194,0.3091,0.337157843461084,0.320481911848626
69,2657,713,27,9,0.3341,0.3147,0.4217,0.4095,0.3588,0.3455,0.386361464139558,0.362051922917259
70,2574,796,28,8,0.3596,0.3411,0.3526,0.3262,0.2848,0.2608,0.448630219982627,0.4367856591912
71,2629,741,29,7,0.3791,0.3549,0.4256,0.3941,0.3783,0.3571,0.440455802029469,0.40396464299551
72,2662,708,29,7,0.2595,0.2539,0.2558,0.241,0.1393,0.125,0.374461620723026,0.3460054968092
73,2654,716,27,9,0.4939,0.4918,0.5331,0.5291,0.4951,0.4949,0.532376895210236,0.534907831222394
74,2585,785,29,7,0.4071,0.3982,0.447,0.4371,0.3907,0.3825,0.398271556173466,0.379174874735366
75,2608,762,27,9,0.3321,0.328,0.3752,0.3594,0.3148,0.3084,0.434762775894957,0.422210591160582
76,2654,716,28,8,0.317,0.301,0.3514,0.3289,0.2808,0.2603,0.388220087292021,0.367083956990425
77,2685,685,29,7,0.3837,0.3853,0.419,0.4111,0.4074,0.4094,0.389535129418074,0.376117774642225
78,2677,693,29,7,0.3983,0.4018,0.4326,0.4308,0.3984,0.3983,0.448927540814146,0.442778177695623
79,2586,784,28,8,0.4668,0.4638,0.5075,0.4981,0.495,0.4856,0.515401322742336,0.507744774204563
80,2608,762,28,8,0.3703,0.3584,0.3117,0.2888,0.326,0.3134,0.357723692673274,0.339040856839045
81,2606,764,29,7,0.422,0.4227,0.3718,0.3723,0.4171,0.416,0.36112484392083,0.358991066464298
82,2628,742,28,8,0.444,0.4279,0.3941,0.3729,0.3811,0.3661,0.418725854690879,0.384108561627054
83,2591,779,29,7,0.3779,0.3609,0.3866,0.379,0.3746,0.3547,0.472352973060099,0.470907260358294
84,2650,720,30,6,0.3367,0.3356,0.424,0.4169,0.377,0.373,0.506605158990681,0.49546328209141
85,2655,715,27,9,0.4265,0.4264,0.436,0.4313,0.4007,0.3955,0.440263241850907,0.441099134626756
86,2595,775,28,8,0.275,0.2611,0.4064,0.3865,0.2592,0.2493,0.474564697236973,0.45444701891526
87,2664,706,29,7,0.448,0.4579,0.5047,0.5037,0.4805,0.4865,0.466584679179286,0.464152404576998
88,2568,802,26,10,0.3857,0.374,0.4131,0.3985,0.3958,0.3865,0.430538758523953,0.417085380728809
89,2694,676,29,7,0.3176,0.3162,0.3895,0.3849,0.3554,0.3514,0.466670487489701,0.439081329950063
90,2611,759,28,8,0.4767,0.4619,0.4596,0.4287,0.4474,0.4379,0.415073334818649,0.400506225909601
