seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,2687,683,27,9,0.4554,0.44,0.5256,0.5017,0.4782,0.4557,0.564146658388778,0.562973434592099
2,2643,727,28,8,0.4629,0.4545,0.4716,0.4557,0.4577,0.446,0.490158777267273,0.464384142555681
3,2648,722,28,8,0.4954,0.465,0.5642,0.5312,0.5477,0.5193,0.55757184284011,0.526038304498218
4,2579,791,27,9,0.4466,0.44,0.5071,0.506,0.4774,0.4752,0.553345432513588,0.552874504869571
5,2651,719,29,7,0.4711,0.4572,0.5913,0.5793,0.5309,0.5203,0.584063725568943,0.596981357214117
6,2566,804,28,8,0.4464,0.425,0.5214,0.5085,0.4381,0.4203,0.484191804344412,0.485217128975533
7,2649,721,29,7,0.4318,0.4216,0.4897,0.4705,0.4171,0.4133,0.474480802938196,0.445129352228291
8,2668,702,29,7,0.4828,0.4803,0.5112,0.5104,0.4721,0.4663,0.546872543234723,0.544392746486346
9,2683,687,28,8,0.5045,0.4771,0.5663,0.5298,0.5083,0.4847,0.532683915927643,0.483478035336524
10,2571,799,28,8,0.4777,0.466,0.573,0.5693,0.5172,0.5148,0.563590122760281,0.548749660310036
11,2602,768,28,8,0.4451,0.4233,0.4605,0.4385,0.4464,0.4321,0.517166958971126,0.511112275786266
12,2639,731,27,9,0.3915,0.3676,0.499,0.4711,0.4225,0.3966,0.541353144747617,0.519365958339181
13,2628,742,27,9,0.4873,0.4642,0.5598,0.5411,0.4955,0.4807,0.51154961513835,0.482559164174704
14,2656,714,30,6,0.4648,0.4366,0.5123,0.4839,0.4958,0.4653,0.494716410195851,0.470877691720491
15,2637,733,27,9,0.437,0.4316,0.52,0.5092,0.456,0.4532,0.518927716903341,0.508957152132215
16,2607,763,27,9,0.4689,0.445,0.5444,0.5207,0.4879,0.4635,0.54511746873153,0.521804597519346
17,2664,706,27,9,0.3554,0.3478,0.4232,0.4039,0.3849,0.3791,0.505168933199792,0.491303377052865
18,2622,748,27,9,0.364,0.3454,0.4421,0.4237,0.4032,0.3797,0.472241642069836,0.461889501432657
19,2666,704,30,6,0.3798,0.3781,0.4236,0.4076,0.3513,0.3534,0.463140246923416,0.469447269733584
20,2671,699,30,6,0.4176,0.3964,0.5343,0.5113,0.4379,0.413,0.577158227025617,0.550405963773684
21,2646,724,29,7,0.4645,0.4402,0.5478,0.5184,0.4478,0.4157,0.584535279720887,0.56699723508706
22,2692,678,27,9,0.483,0.4746,0.5519,0.5393,0.5145,0.505,0.552108148191209,0.53443876867477
23,2617,753,27,9,0.4045,0.39,0.4729,0.4554,0.4217,0.4102,0.525368437479004,0.510319651311205
24,2691,679,30,6,0.3688,0.3644,0.5209,0.5214,0.3755,0.381,0.626811350040084,0.63810002847006
25,2600,770,28,8,0.4713,0.4543,0.5456,0.5245,0.4922,0.471,0.575799607744896,0.562079462693476
26,2663,707,28,8,0.3935,0.3775,0.4968,0.4885,0.4089,0.3947,0.545966224217102,0.545182197638445
27,2647,723,28,8,0.3702,0.3508,0.4473,0.4358,0.3978,0.3827,0.523684058895451,0.534925688827243
28,2626,744,28,8,0.3837,0.3681,0.4985,0.4896,0.4242,0.406,0.531069170411636,0.54161677723534
29,2687,683,27,9,0.3886,0.377,0.4431,0.4199,0.3984,0.3769,0.488719702065571,0.470607627237988
30,2680,690,29,7,0.3108,0.3002,0.4881,0.4902,0.351,0.356,0.612996125069743,0.634019416123958
31,2558,812,29,7,0.5063,0.5041,0.5694,0.571,0.5269,0.5298,0.569990274638294,0.567460236386522
32,2656,714,29,7,0.4192,0.4232,0.5139,0.508,0.4432,0.4454,0.553301618706375,0.539831292759684
33,2591,779,27,9,0.4414,0.4427,0.5408,0.5436,0.4596,0.474,0.593010055450247,0.594947864716955
34,2674,696,29,7,0.5063,0.4821,0.5697,0.5468,0.5211,0.4949,0.56597435239639,0.571503248865919
35,2633,737,30,6,0.3905,0.3842,0.5273,0.5152,0.4611,0.4522,0.513125673558937,0.477939237594578
36,2645,725,30,6,0.4318,0.4129,0.4865,0.4628,0.411,0.3937,0.473234783515644,0.443739961365873
