seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,4062,1047,31,8,0.3017,0.2853,0.3981,0.393,0.3242,0.3151,0.26078186525484,0.272799241983359
2,4043,1066,31,8,0.3064,0.3177,0.3176,0.3187,0.2589,0.2619,0.310311730461662,0.313961012562373
3,3961,1148,30,9,0.1846,0.1983,0.2078,0.215,0.1745,0.1758,0.261160405629456,0.253155221816422
4,4061,1048,31,8,0.1977,0.1839,0.2075,0.1893,0.1199,0.1096,0.379760825057945,0.388638344741742
5,4073,1036,31,8,0.3432,0.3381,0.3542,0.3479,0.3284,0.3205,0.340608000454326,0.352941977619635
6,4055,1054,31,8,0.2266,0.2223,0.2409,0.2571,0.1773,0.1786,0.473937355824023,0.498832485972372
7,4023,1086,31,8,0.1193,0.157,0.1634,0.1991,0.1056,0.1445,0.23539577414119,0.221921200363143
8,3993,1116,30,9,0.2499,0.2381,0.2658,0.2459,0.2277,0.22,0.140533960686475,0.136046797405919
9,4033,1076,31,8,0.1634,0.193,0.1789,0.2009,0.1693,0.1923,0.270094656426281,0.274895327140149
10,4044,1065,31,8,0.2508,0.224,0.2944,0.2846,0.2518,0.2398,0.385701557918921,0.387059989095955
11,4063,1046,31,8,0.3372,0.347,0.3776,0.3815,0.3365,0.3433,0.0755191948383932,0.0965361818490579
12,4072,1037,31,8,0.131,0.1677,0.1779,0.2138,0.1304,0.1578,0.0637605906609371,0.0526259585374511
13,4083,1026,31,8,0.2513,0.2848,0.2677,0.2907,0.2484,0.2775,0.414186106913998,0.380096540556185
14,4055,1054,31,8,0.186,0.169,0.1864,0.1916,0.181,0.1753,0.182192894987848,0.207172274302658
15,4046,1063,31,8,0.325,0.3542,0.3489,0.3677,0.2794,0.3044,0.351298256311281,0.371773752634177
16,4040,1069,31,8,0.2235,0.2132,0.2667,0.2804,0.1791,0.1776,0.395376248455132,0.381911178868196
17,4084,1025,31,8,0.0707,0.0782,0.0397,0.0442,0.0687,0.0849,0.0743345501360397,0.0726006655424952
18,4042,1067,31,8,0.0995,0.1029,0.2246,0.1989,0.0329,0.0349,0.388190628756623,0.39365338958253
19,4023,1086,31,8,0.43,0.4533,0.4761,0.511,0.3706,0.3991,0.269170120617985,0.291169712444129
20,4057,1052,31,8,0.081,0.1001,0.1288,0.1504,0.0665,0.087,0.256024192766171,0.254025009385646
21,4028,1081,31,8,0.1456,0.1766,0.0556,0.1044,0.0523,0.0883,0.373922990398577,0.36729369473435
22,3995,1114,30,9,0.0651,0.0522,0.0858,0.0794,0.0794,0.0784,0.048661873864767,0.0649076657567234
23,4048,1061,31,8,0.2496,0.3087,0.2031,0.2359,0.2029,0.2531,0.323310412678401,0.333332769027659
24,4023,1086,31,8,0.2839,0.2824,0.3718,0.3508,0.3272,0.329,0.172782962593646,0.185956875170934
25,4074,1035,31,8,0.261,0.2623,0.2266,0.2412,0.1959,0.1998,0.23545484864977,0.236007015098497
26,4076,1033,31,8,0.1073,0.1233,0.015,0.0437,0.0277,0.0437,0.366254705206858,0.333567182416178
27,4050,1059,31,8,0.235,0.2144,0.2661,0.2529,0.1966,0.1717,0.297601436505421,0.320518695481948
28,4052,1057,31,8,0.3743,0.3891,0.3373,0.35,0.3153,0.3186,0.258718325670096,0.236589680499201
29,4071,1038,31,8,0.1092,0.1049,0.1841,0.1699,0.0646,0.0506,0.210727551405432,0.207471439361696
30,4041,1068,31,8,0.3922,0.3899,0.4309,0.4341,0.3269,0.3365,0.198720137589848,0.20752106120089
31,4035,1074,31,8,0.3443,0.3627,0.3925,0.4125,0.3246,0.3472,0.321516837385827,0.332502286286182
32,3987,1122,30,9,0.1861,0.1659,0.2088,0.1867,0.1269,0.1115,0.128381814964941,0.133483604745189
33,3999,1110,30,9,0.094,0.0886,0.102,0.1089,0.0923,0.0944,0.255907521281621,0.212102814255034
34,4055,1054,31,8,0.0576,0.0463,0.0886,0.0879,0.0528,0.0436,0.38217602324187,0.37699928564143
35,4049,1060,31,8,0.2872,0.2867,0.2642,0.2664,0.2694,0.2708,0.255456601338082,0.266485121199366
36,4052,1057,31,8,0.3498,0.3495,0.3899,0.3914,0.2873,0.293,-0.0282257616755467,-0.000799485089249778
37,4046,1063,31,8,0.1882,0.202,0.261,0.2758,0.1547,0.1669,0.30136141947887,0.321796241800329
38,4025,1084,31,8,0.2112,0.2248,0.2861,0.3098,0.1941,0.2058,0.336691235332911,0.347376621930868
39,4024,1085,31,8,0.3851,0.4107,0.3254,0.345,0.2777,0.3094,0.127193386241942,0.136108300766349
40,4028,1081,31,8,0.2049,0.2074,0.3085,0.3037,0.1658,0.1641,0.374289030672045,0.358040059997108
41,4074,1035,31,8,0.2583,0.2576,0.3779,0.3669,0.2781,0.2783,0.43872468760128,0.437882333906327
42,4072,1037,31,8,0.086,0.0947,0.1499,0.1605,0.0768,0.0828,0.322064567830761,0.312151303631736
43,4041,1068,31,8,0.0876,0.0921,0.217,0.2094,0.0747,0.0723,0.285673506951625,0.252324477386651
44,4056,1053,31,8,0.0147,0.0341,0.0595,0.087,-0.0126,0.0102,0.275941427774599,0.278293777412655
45,4042,1067,31,8,0.0683,0.111,0.1495,0.1716,0.0262,0.0548,0.292305973940001,0.290298608914134
46,4053,1056,31,8,0.0551,0.0442,0.178,0.1832,0.0022,-0.0125,0.248129447396262,0.243560078878511
47,4066,1043,31,8,0.2942,0.3021,0.2979,0.3023,0.2797,0.2799,0.397475034473807,0.390721955253724
48,4068,1041,31,8,0.2506,0.2542,0.3268,0.3282,0.222,0.2263,0.297042252376047,0.286514340042862
49,4018,1091,31,8,0.2478,0.2596,0.3425,0.345,0.2285,0.2328,0.265558381224815,0.276665356896859
50,4034,1075,31,8,0.089,0.1017,0.103,0.117,0.0636,0.0739,0.251394881555223,0.246160178801903
51,4080,1029,31,8,0.1425,0.1457,0.1342,0.1373,0.1456,0.1472,0.423176583997462,0.399299932014873
52,4055,1054,31,8,-0.0514,-0.035,0.0164,0.0254,-0.0302,-0.0172,0.195259208268485,0.210544705907751
53,4067,1042,31,8,0.0621,0.0768,0.0922,0.1153,0.0584,0.0737,0.228159743545286,0.213831026594837
54,3983,1126,30,9,0.0935,0.0793,0.1289,0.1257,0.1057,0.1079,0.433692752553525,0.416733068502779
55,4031,1078,31,8,0.156,0.1755,0.2827,0.2842,0.1493,0.1577,0.386316569286366,0.396757658631294
56,4061,1048,31,8,0.0942,0.0959,0.1526,0.1363,0.1065,0.0929,0.119702997538087,0.134314937087777
57,4067,1042,31,8,0.4687,0.495,0.4396,0.4669,0.4003,0.4229,0.129811612446507,0.128521770102391
58,4035,1074,31,8,0.1776,0.2114,0.1645,0.1989,0.1235,0.1526,0.381051554554255,0.376597284982049
59,4059,1050,31,8,0.1554,0.1541,0.2624,0.2685,0.1813,0.1812,0.225265654657546,0.229064630747243
60,4084,1025,31,8,0.3096,0.3155,0.309,0.3063,0.2793,0.2827,0.354389683694327,0.374345067342232
61,4064,1045,31,8,0.2604,0.266,0.2625,0.2708,0.2259,0.2328,0.380754514001183,0.393818011993646
62,3957,1152,30,9,0.2012,0.1932,0.2807,0.277,0.1834,0.1781,0.230606906885448,0.231444610099633
63,4021,1088,31,8,0.2499,0.2347,0.254,0.2465,0.2101,0.1916,0.222910993000728,0.217611225041682
64,4036,1073,31,8,0.0574,0.0633,0.1319,0.1309,0.0645,0.065,0.258031605159049,0.236827538032292
65,3977,1132,30,9,0.1035,0.1003,0.0766,0.0681,-0.0025,-0.0067,0.171036707304672,0.173515971913863
66,4037,1072,31,8,0.0791,0.0656,0.2209,0.2193,0.1074,0.102,0.420357957099486,0.433363624024354
67,4030,1079,31,8,0.0693,0.0885,0.0898,0.0907,0.081,0.0888,0.490864924988664,0.497223521642681
68,4053,1056,31,8,0.0386,0.0463,0.036,0.0461,0.0328,0.0482,0.303434827463916,0.28138321501029
69,4037,1072,31,8,0.2607,0.2866,0.3065,0.329,0.2444,0.267,0.196141967367777,0.218488108906464
70,3974,1135,30,9,0.1226,0.1055,0.186,0.1887,0.1216,0.1124,0.351880383947978,0.345112393620809
71,4071,1038,31,8,0.2441,0.255,0.2968,0.3173,0.2506,0.2693,0.375616363911151,0.396302306988643
72,4082,1027,31,8,0.2525,0.2758,0.2084,0.2265,0.223,0.2453,0.471258640545935,0.47084401387363
73,4047,1062,31,8,0.089,0.095,0.1548,0.1627,0.0914,0.0978,0.343193348640069,0.337610545882087
74,4034,1075,31,8,0.2248,0.2196,0.2922,0.3105,0.1585,0.1706,0.360751898164551,0.380019133963724
75,4067,1042,31,8,0.2166,0.2181,0.2496,0.2489,0.1836,0.1671,0.263430416982423,0.292346069099415
76,4050,1059,31,8,0.3272,0.3793,0.3229,0.349,0.2568,0.2861,0.2916574778779,0.296190302521758
77,4027,1082,31,8,-0.0424,-0.018,-0.0263,-0.0142,0.0037,0.0137,0.41260715429261,0.371965096767519
78,4062,1047,31,8,0.0625,0.07,0.0373,0.0568,0.0671,0.0837,0.162992189335763,0.139659326348272
79,4042,1067,31,8,0.106,0.1001,0.1679,0.1607,0.0997,0.0817,0.136707474463081,0.185880067666397
80,4056,1053,31,8,0.1525,0.1374,0.2306,0.2399,0.1614,0.1561,0.376460276516167,0.390712301864402
81,4035,1074,31,8,0.13,0.1381,0.1952,0.2093,0.1567,0.1624,0.255191870674315,0.263542390845095
82,4030,1079,31,8,0.0384,0.0518,0.1171,0.1325,0.0816,0.089,0.221633545064457,0.240601683641249
83,4059,1050,31,8,0.4015,0.3953,0.3787,0.3723,0.3768,0.3768,0.286753861637163,0.274063272899051
84,4022,1087,31,8,0.3423,0.3033,0.3984,0.3863,0.2848,0.2395,0.33320567851939,0.358783418723971
85,4047,1062,31,8,0.2189,0.2254,0.2828,0.2868,0.2568,0.2712,0.215512151544703,0.220465156057787
86,4067,1042,31,8,0.2293,0.2266,0.2978,0.286,0.2218,0.2318,0.430962127630747,0.423573771650467
87,4047,1062,31,8,0.1232,0.1262,0.2165,0.2247,0.1452,0.1572,0.418823710020884,0.41760258823477
88,3967,1142,30,9,0.1202,0.1255,0.1535,0.1703,0.1366,0.1459,0.224835449467066,0.220877328158846
89,4047,1062,31,8,0.3138,0.3013,0.2915,0.2922,0.2301,0.2295,0.439118146687,0.428220673056358
90,4082,1027,31,8,0.2987,0.2813,0.2946,0.2954,0.258,0.2324,0.268896721858791,0.252592022637823
91,4029,1080,31,8,0.1628,0.18,0.2463,0.2534,0.1483,0.1727,0.169432466973087,0.200206897176249
92,4087,1022,31,8,0.2754,0.2599,0.3241,0.3265,0.2859,0.2795,0.219129032835064,0.219166501463945
93,3974,1135,30,9,0.2289,0.2285,0.2997,0.2856,0.1858,0.1888,0.385665734676139,0.377474184737242
94,4065,1044,31,8,0.0921,0.0964,0.1891,0.191,0.0865,0.0886,0.372382155702311,0.354812298682982
95,4031,1078,31,8,0.4043,0.4134,0.3785,0.3727,0.3435,0.3511,0.257594447005041,0.284009053677675
96,4059,1050,31,8,0.1877,0.1994,0.1973,0.2107,0.1669,0.1745,0.32553506353798,0.306409371839109
97,4025,1084,31,8,0.1521,0.1499,0.2025,0.2157,0.1384,0.1315,0.422845248112556,0.399337096658943
98,3956,1153,30,9,0.1636,0.1583,0.1676,0.152,0.0979,0.0868,0.209842269018865,0.208660046007668
99,4042,1067,31,8,0.1968,0.1865,0.279,0.2863,0.1755,0.1658,0.26896645079947,0.252743073403903
100,3968,1141,30,9,0.1182,0.1412,0.1395,0.1691,0.1169,0.1354,0.357099180713993,0.351677634319247
