seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,4082,1048,31,8,0.4146,0.414,0.4987,0.4963,0.4468,0.4443,0.409139735907878,0.420991812251468
2,4059,1071,31,8,0.3625,0.3521,0.4367,0.4274,0.4032,0.394,0.575259286032901,0.563557887492426
3,3977,1153,30,9,0.4139,0.4147,0.4699,0.4696,0.4272,0.4254,0.503338409857846,0.516745315028817
4,4077,1053,31,8,0.3968,0.3931,0.4825,0.4703,0.4592,0.4496,0.584597343126485,0.566924820363701
5,4093,1037,31,8,0.421,0.4332,0.5234,0.5281,0.4311,0.4436,0.598544799682317,0.577669867864009
6,4073,1057,31,8,0.3821,0.3746,0.452,0.4466,0.3631,0.3562,0.432704865390445,0.448510479258264
7,4039,1091,31,8,0.3767,0.3847,0.4201,0.4261,0.4073,0.419,0.488460566632346,0.47799398911508
8,4012,1118,30,9,0.4246,0.4292,0.451,0.4635,0.4,0.4085,0.557722511046103,0.572604649667343
9,4048,1082,31,8,0.3988,0.3933,0.508,0.4944,0.4428,0.4378,0.477417289706938,0.447030133494404
10,4062,1068,31,8,0.3398,0.3109,0.4612,0.4356,0.3666,0.3377,0.464128029014293,0.47729361551127
11,4081,1049,31,8,0.5249,0.5342,0.5822,0.5876,0.5473,0.5546,0.641348280416488,0.630915234307959
12,4085,1045,31,8,0.4434,0.439,0.502,0.508,0.4571,0.4595,0.548854994303617,0.538165809205013
13,4099,1031,31,8,0.4939,0.4944,0.5278,0.5239,0.5047,0.5011,0.509339651890161,0.527086697334803
14,4071,1059,31,8,0.394,0.3948,0.4911,0.4941,0.4384,0.4407,0.555921848723924,0.544898125692671
15,4059,1071,31,8,0.4683,0.463,0.4924,0.4897,0.451,0.4417,0.546791632265664,0.557258398530501
16,4055,1075,31,8,0.308,0.3091,0.488,0.4847,0.3596,0.3645,0.55506861525789,0.535422113075431
17,4098,1032,31,8,0.441,0.4472,0.4637,0.4709,0.4027,0.4119,0.601653272974279,0.612603080376737
18,4060,1070,31,8,0.4047,0.4075,0.4757,0.4714,0.4237,0.4208,0.417809369385684,0.421775306813913
19,4043,1087,31,8,0.4051,0.4054,0.5442,0.5361,0.4745,0.4742,0.493986418092733,0.47787911507873
20,4075,1055,31,8,0.4087,0.3965,0.4212,0.412,0.4569,0.4409,0.462809435882032,0.477005585686862
21,4045,1085,31,8,0.4004,0.3793,0.4634,0.4511,0.4153,0.393,0.545936857268805,0.531163759234815
22,4011,1119,30,9,0.4097,0.4125,0.4674,0.4691,0.4026,0.4067,0.534992991586686,0.513146739301906
23,4064,1066,31,8,0.4061,0.4018,0.4249,0.4199,0.402,0.4007,0.545865186795365,0.536743519092402
24,4039,1091,31,8,0.3409,0.3359,0.4979,0.4881,0.3882,0.383,0.493741353335328,0.485463992626292
25,4089,1041,31,8,0.4122,0.3977,0.5302,0.5177,0.4328,0.4208,0.55383512888046,0.538050867294983
26,4091,1039,31,8,0.4013,0.3972,0.5153,0.5085,0.4627,0.4539,0.511759875631449,0.525345760285833
27,4066,1064,31,8,0.4648,0.4719,0.5668,0.5688,0.5148,0.5228,0.614174703615144,0.60281891298036
28,4065,1065,31,8,0.4617,0.4545,0.4832,0.48,0.4305,0.4252,0.466261527851912,0.480140020323342
