seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,4082,1048,31,8,0.4018,0.3764,0.4641,0.4283,0.4295,0.4039,0.475506863828417,0.448128805104005
2,4059,1071,31,8,0.4362,0.4315,0.517,0.5095,0.4521,0.4494,0.560658178436873,0.545907299334333
3,3977,1153,30,9,0.5377,0.5222,0.6083,0.5956,0.552,0.538,0.617033129198554,0.598304780776795
4,4077,1053,31,8,0.4265,0.4084,0.515,0.4912,0.4769,0.4604,0.552579773198949,0.526293852214098
5,4093,1037,31,8,0.3891,0.3552,0.5566,0.5159,0.4092,0.3747,0.597748467639865,0.578853416339905
6,4073,1057,31,8,0.3756,0.3456,0.4484,0.4136,0.3554,0.3285,0.461524200385004,0.423130782902035
7,4039,1091,31,8,0.3908,0.3811,0.4468,0.4325,0.4036,0.3941,0.564312623444753,0.527686344371791
8,4012,1118,30,9,0.392,0.3652,0.4173,0.3886,0.3595,0.3335,0.473619455929839,0.441204692966882
9,4048,1082,31,8,0.4017,0.3868,0.5524,0.5252,0.4582,0.4418,0.539650840684593,0.509897010179192
10,4062,1068,31,8,0.5291,0.5064,0.572,0.5501,0.5599,0.5391,0.566413653968335,0.543659702703695
11,4081,1049,31,8,0.4091,0.4014,0.4811,0.4687,0.4141,0.4024,0.549288515517571,0.516479984253328
12,4085,1045,31,8,0.3743,0.3728,0.4854,0.4753,0.3869,0.3803,0.584174640091193,0.556499034666097
13,4099,1031,31,8,0.5018,0.4894,0.5527,0.5369,0.502,0.4928,0.576795350752139,0.543622144964739
14,4071,1059,31,8,0.3696,0.3556,0.5032,0.4826,0.4333,0.421,0.59710203063862,0.576237647785951
15,4059,1071,31,8,0.4539,0.4409,0.508,0.4917,0.4448,0.4326,0.553478037457626,0.533531311550111
16,4055,1075,31,8,0.418,0.4084,0.5724,0.5581,0.4836,0.4756,0.592453378354978,0.554239808328458
17,4098,1032,31,8,0.5075,0.4992,0.5736,0.5672,0.5169,0.5108,0.583854229880214,0.559873463626385
18,4060,1070,31,8,0.4638,0.4308,0.5862,0.5461,0.471,0.4406,0.49490688449752,0.468578282349875
19,4043,1087,31,8,0.3744,0.3637,0.4814,0.462,0.4367,0.4241,0.542852831435952,0.514365781279729
20,4075,1055,31,8,0.4454,0.4315,0.4896,0.4642,0.4373,0.4174,0.545091996451907,0.537337391301858
21,4045,1085,31,8,0.4752,0.4505,0.5678,0.5383,0.4913,0.4652,0.576168176106651,0.559260730042538
22,4011,1119,30,9,0.4279,0.4133,0.5236,0.504,0.4359,0.419,0.599506084941099,0.58083329378166
23,4064,1066,31,8,0.434,0.4112,0.4838,0.4538,0.4468,0.4244,0.514851666983817,0.493795433129576
24,4039,1091,31,8,0.4389,0.4263,0.5231,0.5074,0.4958,0.479,0.528056951624986,0.513470818227248
25,4089,1041,31,8,0.3545,0.342,0.524,0.5092,0.3966,0.3849,0.594274916852834,0.573357605628759
26,4091,1039,31,8,0.5006,0.4884,0.6275,0.6189,0.5806,0.5692,0.5776921271015,0.561920293760855
27,4066,1064,31,8,0.3979,0.3798,0.5295,0.5148,0.4263,0.4154,0.610647193640942,0.586732991346485
28,4065,1065,31,8,0.4961,0.4866,0.5234,0.5144,0.4793,0.4657,0.508945549041263,0.491705481670724
29,4089,1041,31,8,0.4152,0.398,0.5042,0.4812,0.4382,0.4241,0.595671512276585,0.57173383959315
30,4055,1075,31,8,0.5051,0.4955,0.5473,0.5401,0.5026,0.4964,0.605681069335339,0.570988382554842
31,4052,1078,31,8,0.4408,0.4378,0.5151,0.5152,0.4301,0.4329,0.434881005478388,0.417995157545549
