seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,4086,1050,31,8,0.1951,0.2112,0.225,0.2513,0.1639,0.1784,0.129971958822492,0.134860830783948
2,4065,1071,31,8,0.1648,0.1487,0.152,0.1441,0.1741,0.1562,0.170658991636036,0.132807443409472
3,3983,1153,30,9,0.1696,0.1529,0.1825,0.1726,0.1507,0.1478,0.104756624712906,0.0843561683554909
4,4083,1053,31,8,-0.0901,-0.1017,-0.121,-0.1308,-0.1403,-0.1475,0.0564525599111191,0.028996074082487
5,4097,1039,31,8,0.2638,0.2797,0.3127,0.3323,0.2814,0.2962,0.216896376214411,0.221434717066563
6,4079,1057,31,8,0.0689,0.0791,0.0672,0.0867,0.0627,0.0769,0.110777628723771,0.0982722285648679
7,4044,1092,31,8,0.1015,0.085,0.1073,0.0961,0.1079,0.0977,0.186512645697004,0.127278248775919
8,4017,1119,30,9,0.067,0.0406,0.0112,-0.0089,0.0629,0.0449,0.082952317518307,0.0740378209474438
9,4052,1084,31,8,0.3153,0.2883,0.354,0.3196,0.2704,0.2441,0.143329189560685,0.0979185803051588
10,4068,1068,31,8,0.1382,0.1376,0.1551,0.1511,0.1172,0.1172,0.182032375987981,0.184061915452058
11,4084,1052,31,8,0.0706,0.0575,0.0484,0.0282,0.038,0.0362,0.151626033370555,0.118450749809928
12,4089,1047,31,8,0.1743,0.1661,0.2662,0.2508,0.1595,0.1576,0.264713380806018,0.248630986891504
13,4103,1033,31,8,0.3316,0.3408,0.3347,0.3459,0.2912,0.3025,0.114436281567908,0.127716814026493
14,4075,1061,31,8,0.0649,0.0637,0.0478,0.0491,0.0814,0.0817,0.185417604569177,0.137187154098833
15,4064,1072,31,8,-0.0621,-0.0609,0.0265,0.0259,-0.0577,-0.0652,0.260133519616463,0.251741402758166
16,4059,1077,31,8,0.144,0.1347,0.1928,0.1716,0.1265,0.1183,0.154427913238692,0.138761471282106
