seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,4008,1020,31,8,0.284,0.3023,0.4288,0.4443,0.3571,0.3715,0.532759391543427,0.552197142665535
2,3976,1052,31,8,0.415,0.4347,0.4251,0.4397,0.4457,0.4641,0.506046818046102,0.50033726111529
3,3904,1124,30,9,0.3852,0.3765,0.5199,0.5013,0.4178,0.4065,0.427976930859858,0.408569669949084
4,3992,1036,31,8,0.2587,0.2537,0.283,0.2795,0.2971,0.2942,0.41052105630984,0.424711775102309
5,4011,1017,31,8,0.2101,0.209,0.3868,0.3834,0.2989,0.2946,0.490348775896476,0.494156784187011
6,3996,1032,31,8,0.3807,0.3982,0.4633,0.476,0.4442,0.4537,0.536077528812482,0.533430963097749
7,3957,1071,31,8,0.4195,0.4106,0.492,0.4701,0.4576,0.4465,0.39347244492697,0.360903214399247
8,3935,1093,30,9,0.4924,0.4952,0.5887,0.5851,0.5236,0.526,0.598487533071457,0.598695547383829
9,3964,1064,31,8,0.3251,0.3347,0.4221,0.4212,0.3343,0.3377,0.392033255936122,0.40880458340738
10,3979,1049,31,8,0.2619,0.2738,0.3941,0.4019,0.3066,0.3146,0.420913161537473,0.41503951506425
11,4007,1021,31,8,0.4109,0.4086,0.4941,0.496,0.4466,0.4458,0.496383940386568,0.505846565916558
12,4008,1020,31,8,0.4474,0.4428,0.5414,0.538,0.4692,0.4647,0.476523114296319,0.453613064684553
13,3888,1140,30,9,0.2843,0.2949,0.4299,0.4421,0.319,0.328,0.388132148067343,0.379620103306312
14,3984,1044,31,8,0.339,0.347,0.3939,0.3926,0.3728,0.3738,0.518212375511453,0.491194533341551
15,3988,1040,31,8,0.4044,0.4035,0.4859,0.4925,0.4539,0.4567,0.641037391646355,0.634630006292224
16,3972,1056,31,8,0.3881,0.3787,0.4849,0.4745,0.4049,0.3954,0.316430075680451,0.306919745740687
17,4019,1009,31,8,0.4923,0.4896,0.5646,0.5603,0.4947,0.4974,0.474134152408685,0.484048327329932
18,3984,1044,31,8,0.4306,0.4334,0.5114,0.5065,0.5005,0.5003,0.525840673289871,0.527539782528233
19,3961,1067,31,8,0.2918,0.2843,0.3933,0.3952,0.3059,0.3054,0.542240963260865,0.542202502894001
20,3992,1036,31,8,0.3924,0.3892,0.4451,0.4398,0.4034,0.3986,0.470129540610307,0.486322120891084
