seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,4008,1020,31,8,0.3706,0.3869,0.4209,0.4238,0.4055,0.4199,0.427595733113826,0.421657533408556
2,3976,1052,31,8,0.3535,0.3416,0.3897,0.3796,0.3507,0.3406,0.426176314612426,0.415494655237395
3,3904,1124,30,9,0.2839,0.2743,0.4519,0.4383,0.3046,0.2944,0.385321386253137,0.385962939465479
4,3992,1036,31,8,0.3044,0.3008,0.3664,0.3682,0.3328,0.3367,0.412003592038956,0.409352724374227
5,4011,1017,31,8,0.2802,0.2694,0.3732,0.3604,0.3348,0.3256,0.425698300281037,0.411088679336007
6,3996,1032,31,8,0.2846,0.2863,0.3678,0.3655,0.3621,0.3532,0.487501266626031,0.480289266851279
7,3957,1071,31,8,0.3646,0.3609,0.431,0.417,0.3882,0.3769,0.347204676867702,0.341896553392943
8,3935,1093,30,9,0.4078,0.3873,0.4537,0.4311,0.405,0.382,0.501243048045348,0.483802274316649
9,3964,1064,31,8,0.3529,0.3466,0.439,0.4284,0.3767,0.364,0.394579256736519,0.409541968630698
10,3979,1049,31,8,0.3,0.2849,0.3786,0.3657,0.334,0.3157,0.344244642845504,0.337858504981067
11,4007,1021,31,8,0.3659,0.344,0.4079,0.3931,0.3812,0.3528,0.344813021792918,0.340031522030182
12,4008,1020,31,8,0.305,0.2999,0.3961,0.394,0.3103,0.3046,0.360780904028359,0.372950629435935
13,3888,1140,30,9,0.3662,0.3562,0.4511,0.4391,0.3754,0.361,0.313860336845936,0.313509926694223
14,3984,1044,31,8,0.3121,0.3089,0.3523,0.3482,0.3243,0.3203,0.442248136571548,0.417761041634094
15,3988,1040,31,8,0.2453,0.2426,0.3099,0.3036,0.3153,0.3087,0.469032724324648,0.442146389726097
16,3972,1056,31,8,0.3516,0.3379,0.4347,0.4211,0.3525,0.3315,0.381725530737072,0.3862255542831
17,4019,1009,31,8,0.4157,0.3996,0.4753,0.4682,0.4051,0.3876,0.457999177066965,0.451488884355693
18,3984,1044,31,8,0.4303,0.4284,0.5564,0.5351,0.4711,0.4621,0.563321669523646,0.560446207832531
19,3961,1067,31,8,0.3356,0.3274,0.3927,0.3924,0.3866,0.3812,0.504103225949736,0.490115870500925
20,3992,1036,31,8,0.3363,0.3382,0.4187,0.4155,0.3346,0.3296,0.463679926033957,0.436544643305267
21,3960,1068,31,8,0.2457,0.2377,0.4416,0.4433,0.3348,0.3231,0.514335424192926,0.521786138146816
22,3927,1101,30,9,0.3556,0.3574,0.4135,0.4157,0.3519,0.3573,0.46612263553968,0.46663996141612
23,3983,1045,31,8,0.325,0.3251,0.384,0.3865,0.3793,0.3825,0.320956951228877,0.324416639528369
24,3956,1072,31,8,0.3353,0.3316,0.3644,0.3544,0.3344,0.3256,0.372287674483477,0.364056459562617
25,4007,1021,31,8,0.3007,0.2909,0.4062,0.3953,0.327,0.3146,0.399023081909826,0.388557289697927
26,4006,1022,31,8,0.379,0.3693,0.4589,0.4505,0.3955,0.3736,0.456613718496721,0.463380313129101
27,3989,1039,31,8,0.4443,0.4421,0.5071,0.5053,0.4491,0.4514,0.483425965077114,0.476457962719437
28,3989,1039,31,8,0.2936,0.2765,0.3687,0.3388,0.2743,0.2515,0.31265971025175,0.297932825509405
29,4004,1024,31,8,0.3924,0.3844,0.4933,0.4837,0.4136,0.4012,0.484840397365464,0.492514778049196
30,3979,1049,31,8,0.2747,0.2689,0.3888,0.3806,0.2702,0.2727,0.326090723865186,0.304062364439925
31,3970,1058,31,8,0.4239,0.42,0.4438,0.445,0.4031,0.3994,0.397140422251423,0.405007481924888
32,3926,1102,30,9,0.3272,0.32,0.388,0.3685,0.3534,0.3514,0.457888855698726,0.438625608167412
33,3937,1091,30,9,0.4439,0.4252,0.4756,0.4583,0.4011,0.3891,0.409328655224121,0.41958813330918
34,3990,1038,31,8,0.3719,0.3687,0.4596,0.4533,0.3868,0.3819,0.514163505502946,0.508883240615242
35,3980,1048,31,8,0.3635,0.3745,0.3984,0.3973,0.3792,0.384,0.432475334409812,0.420207245975638
36,3989,1039,31,8,0.2699,0.2618,0.3163,0.314,0.29,0.2852,0.383575019265588,0.390449559107023
37,3982,1046,31,8,0.4562,0.4558,0.4912,0.4834,0.4614,0.4539,0.483236294442028,0.473247028850885
38,3956,1072,31,8,0.3936,0.3861,0.5071,0.4858,0.3796,0.3736,0.368580125303445,0.359652503770295
39,3958,1070,31,8,0.2814,0.2838,0.3611,0.3658,0.3808,0.3817,0.408142854540652,0.417381057020021
