seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,4015,1025,31,8,0.3204,0.2858,0.3854,0.376,0.3157,0.2884,0.433288589558779,0.429702514887357
2,3985,1055,31,8,0.4612,0.4628,0.4364,0.4382,0.4547,0.4491,0.305652181070002,0.310796104743408
3,3912,1128,30,9,0.2239,0.1814,0.2775,0.2443,0.286,0.2361,0.25527691676299,0.261552410655302
4,4003,1037,31,8,0.0934,0.1018,0.1759,0.1736,0.0636,0.0648,0.346116339785096,0.344915154487695
5,4020,1020,31,8,0.1049,0.0671,0.1679,0.148,0.1463,0.1138,0.0911747914944702,0.0961750598053967
6,4003,1037,31,8,0.0957,0.077,0.1164,0.1011,0.1085,0.0909,0.39589101547413,0.40901820980188
7,3966,1074,31,8,0.3892,0.3885,0.3891,0.3737,0.3533,0.3544,0.309209472004737,0.283220770146184
8,3943,1097,30,9,0.1872,0.1402,0.2552,0.2227,0.2561,0.2264,0.226815375659966,0.197899208921588
9,3974,1066,31,8,0.4259,0.4313,0.4862,0.4895,0.414,0.4214,0.0780271901466634,0.0938384377092644
10,3990,1050,31,8,0.3079,0.3127,0.3428,0.3613,0.3069,0.3071,0.480947599554587,0.503257996601353
11,4014,1026,31,8,0.3076,0.3179,0.361,0.3692,0.3077,0.3181,0.362350994096853,0.355723386527875
12,4018,1022,31,8,0.255,0.246,0.352,0.3481,0.3045,0.2938,0.359936063707,0.358171316567634
13,4032,1008,31,8,0.1365,0.1399,0.1952,0.2152,0.1793,0.1849,0.331879348290084,0.316960402352579
14,3995,1045,31,8,0.3682,0.369,0.3051,0.3001,0.3001,0.296,0.497594746296808,0.508388859625754
15,3997,1043,31,8,0.3742,0.3753,0.3693,0.368,0.3769,0.3754,0.429396924247135,0.441189683506891
16,3982,1058,31,8,0.256,0.2536,0.2794,0.2569,0.1887,0.1875,0.38269042387478,0.390735857096561
17,4030,1010,31,8,0.3603,0.3748,0.4413,0.4569,0.3754,0.3965,0.284725426651896,0.282806345861637
18,3992,1048,31,8,0.1398,0.1365,0.2301,0.2299,0.2101,0.2034,0.295026351320098,0.28332699317878
19,3968,1072,31,8,0.2821,0.2707,0.2818,0.2565,0.2755,0.2598,0.454710300998559,0.442981550250554
20,4002,1038,31,8,0.2624,0.2656,0.2592,0.2601,0.2295,0.2445,0.144941601956655,0.142121980868554
21,3969,1071,31,8,0.2099,0.2215,0.2231,0.2407,0.2118,0.2289,0.314895074765478,0.313059271151578
22,3937,1103,30,9,0.2716,0.2527,0.2993,0.2863,0.2825,0.2774,0.35189532797014,0.343463556807824
