seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,2472,684,30,9,0.0462,0.0398,0.0116,0.0091,0.0466,0.0408,0.323012841354438,0.30617600709703
2,2467,689,31,8,0.4963,0.4595,0.5296,0.4845,0.4885,0.4502,0.51931059063196,0.465084628949628
3,2477,679,30,9,0.4644,0.4464,0.5053,0.5015,0.4505,0.4314,0.527329263104411,0.518150928645216
4,2476,680,31,8,0.4809,0.4037,0.4773,0.406,0.4515,0.3982,0.219629775224532,0.211509234606997
5,2513,643,31,8,0.3928,0.3713,0.3678,0.3442,0.3686,0.3583,0.513622061651011,0.506139284880379
6,2510,646,31,8,0.3968,0.3617,0.3708,0.3431,0.3805,0.3434,0.469620682186126,0.418378046539614
7,2486,670,31,8,0.2277,0.2282,0.2443,0.2462,0.2276,0.2218,0.489206456639902,0.405861842019139
8,2474,682,30,9,0.4648,0.4275,0.4781,0.4419,0.4968,0.4621,0.511933443490585,0.499048798485588
9,2494,662,31,8,0.5425,0.5118,0.6068,0.5863,0.5306,0.5026,0.611561567086362,0.600101982078452
10,2449,707,31,8,0.3728,0.3849,0.3975,0.4057,0.3868,0.3998,0.30075618834895,0.299090126540316
11,2461,695,30,9,0.3552,0.334,0.353,0.3323,0.3464,0.3266,0.537501450043437,0.517264144404819
12,2498,658,30,9,0.4023,0.3694,0.4302,0.3971,0.4273,0.39,0.394772703653022,0.389830674483308
13,2460,696,30,9,0.3431,0.339,0.3346,0.3341,0.3841,0.3866,0.234195964293607,0.229418981262381
14,2488,668,31,8,0.2627,0.2455,0.292,0.2736,0.256,0.2412,0.524644135792204,0.423818630151962
15,2483,673,30,9,0.4591,0.4238,0.4202,0.3936,0.4265,0.4004,0.386214359182073,0.273681960526439
16,2496,660,31,8,0.4817,0.5138,0.4944,0.5275,0.4404,0.4748,0.455732047498072,0.429696499040281
17,2501,655,30,9,0.3651,0.3712,0.4342,0.4166,0.4006,0.411,0.482206925545083,0.511830168815234
18,2478,678,30,9,0.4774,0.4408,0.4525,0.427,0.434,0.4186,0.578963937560588,0.538915104105895
