seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,639,168,19,5,-0.1165,-0.1066,-0.121,-0.1165,-0.1144,-0.1177,-0.196937118049337,-0.171983136029387
2,642,165,19,5,0.1305,0.0721,0.0717,0.0181,0.2863,0.2261,0.132775672671028,0.141018080333251
3,641,166,19,5,0.0971,0.0828,0.0584,0.0436,0.16,0.1181,0.227928101167662,0.230480833612726
4,641,166,19,5,-0.3106,-0.3715,-0.4557,-0.5041,-0.2617,-0.3149,-0.401299135215915,-0.387005033385557
5,641,166,19,5,0.1906,0.1827,0.179,0.1744,0.1239,0.0982,0.186188291553775,0.177213147778539
6,636,171,19,5,-0.0302,-0.0082,-0.0984,-0.0634,-0.0305,-0.0288,-0.137123107681517,-0.108667869121854
7,633,174,19,5,-0.1422,-0.1251,-0.1163,-0.1151,0.035,0.0575,-0.209404110374858,-0.222821113314937
8,633,174,19,5,0.085,0.1061,0.1298,0.1467,0.2277,0.2169,-0.151442508100028,-0.131395184230048
9,632,175,19,5,-0.3201,-0.2339,-0.3761,-0.3171,-0.2585,-0.2248,-0.282858978052074,-0.252130948652891
10,632,175,19,5,-0.1812,-0.1805,-0.202,-0.1997,-0.175,-0.1523,-0.0223861100612277,-0.00544589985313726
11,635,172,19,5,-0.0166,0.0084,0.0108,0.0163,0.1556,0.161,-0.242078193880747,-0.235486682539415
12,612,195,18,6,0.2105,0.1932,0.1997,0.1891,0.2815,0.2775,-0.00236498924492403,0.00383593528000644
13,634,173,19,5,-0.1098,-0.1129,-0.0481,-0.072,-0.0815,-0.0973,-0.0594555083175901,-0.0325687637861149
14,636,171,19,5,-0.1287,-0.1141,-0.1936,-0.1835,-0.0615,-0.0451,-0.00915556450547972,-0.027418319365768
15,611,196,18,6,0.1152,0.1064,0.0946,0.0881,0.1953,0.1838,0.123517867649574,0.102609589093099
16,639,168,19,5,-0.2679,-0.2946,-0.298,-0.2847,-0.1784,-0.2108,-0.245647247768992,-0.223960182528033
17,636,171,19,5,0.1517,0.1568,0.0668,0.0941,0.0344,0.043,-0.0129060305201384,0.0379849826908123
18,639,168,19,5,0.3132,0.2776,0.273,0.2606,0.2986,0.2839,0.0942863835123436,0.0946535965113466
19,636,171,19,5,-0.1199,-0.0689,-0.2048,-0.163,-0.2088,-0.1606,-0.0238055932627038,-0.0131636188095274
20,637,170,19,5,0.204,0.2015,0.1626,0.1471,0.2606,0.2545,-0.100519214053822,-0.0841569920762991
21,635,172,19,5,-0.0729,-0.0284,-0.1169,-0.1021,0.0415,0.0755,-0.132777273372651,-0.147691306373808
22,635,172,19,5,-0.3879,-0.3851,-0.4619,-0.4575,-0.2391,-0.234,-0.402212625598576,-0.396495648701455
23,639,168,19,5,0.0492,0.067,0.0359,0.054,0.0557,0.0584,0.105893698933589,0.137015530438414
24,637,170,19,5,0.0331,0.016,-0.0371,-0.0357,0.1034,0.1027,-0.236882922820058,-0.202938376469934
25,638,169,19,5,0.083,0.0917,0.0945,0.0909,0.1734,0.1828,0.0554228714282869,0.0682120354479888
26,634,173,19,5,-0.0254,0.0306,0.0161,0.0659,-0.0262,0.0058,0.0896293560541897,0.0565658346963339
27,616,191,18,6,-0.1525,-0.1518,-0.1483,-0.1599,-0.1582,-0.1722,0.0745560296555515,0.0704696645357143
28,636,171,19,5,-0.1302,-0.1271,-0.0966,-0.0963,-0.1599,-0.1562,-0.277178448340635,-0.239085745969229
29,644,163,19,5,-0.1785,-0.1823,-0.0666,-0.0633,-0.097,-0.1099,-0.10885758558544,-0.118223939196085
30,640,167,19,5,0.1302,0.1136,0.1277,0.1141,0.2037,0.1794,-0.239551766636981,-0.201514882543858
31,638,169,19,5,-0.2361,-0.2101,-0.3515,-0.2657,-0.2195,-0.1679,-0.243228131835426,-0.15755070605649
32,639,168,19,5,0.0885,0.0826,0.0814,0.0856,0.0117,0.0168,0.286218698271055,0.321680180582347
33,633,174,19,5,-0.223,-0.2325,-0.1309,-0.1258,-0.2074,-0.2048,-0.368769078924105,-0.321605104387802
34,613,194,18,6,0.1617,0.1275,0.2152,0.1872,0.2043,0.1762,0.00303186692598977,-0.00690520954566881
35,634,173,19,5,0.1092,0.108,0.1468,0.1287,0.2016,0.1832,0.0332362874509298,0.0357812747607291
36,642,165,19,5,-0.0048,0.0201,-0.0683,-0.0378,0.0152,0.035,-0.133529791427697,-0.135180031760299
37,633,174,19,5,-0.181,-0.1567,-0.3169,-0.279,-0.0725,-0.0591,-0.417242850707429,-0.394270246573728
38,638,169,19,5,0.2104,0.2063,0.1907,0.1671,0.2147,0.2056,0.132285269309119,0.132254399518265
39,635,172,19,5,-0.3209,-0.2966,-0.3465,-0.2982,-0.2326,-0.1792,-0.125657240696823,-0.102750484850708
40,645,162,19,5,0.1252,0.1315,0.1379,0.1416,0.1929,0.1892,0.252884995639196,0.215414061112968
41,635,172,19,5,0.0693,0.0611,0.108,0.1195,0.1701,0.1639,-0.218056590193831,-0.17212406268104
42,635,172,19,5,-0.0858,-0.0713,-0.0741,-0.07,-0.0773,-0.0997,0.116478584296861,0.0739413410092442
43,644,163,19,5,-0.2288,-0.2181,-0.2664,-0.2646,-0.2808,-0.2612,-0.293268261068256,-0.281025996483097
44,634,173,19,5,-0.2437,-0.2093,-0.2993,-0.2903,-0.293,-0.2484,-0.0525100612316123,-0.0440983118283777
45,639,168,19,5,0.1523,0.1335,0.1631,0.145,0.071,0.0565,0.210894493513731,0.193037982965702
46,643,164,19,5,-0.1925,-0.1846,-0.3078,-0.2983,-0.173,-0.1753,0.0498532727833135,0.0472008625379094
47,639,168,19,5,-0.2019,-0.2147,-0.3093,-0.2932,-0.1371,-0.1255,-0.356181462882194,-0.286503228888001
48,635,172,19,5,-0.4395,-0.4546,-0.4261,-0.4584,-0.4017,-0.4157,-0.0323913686774236,-0.0252533144129862
49,618,189,18,6,0.0831,0.0846,0.0246,0.0405,0.1301,0.1235,0.0146638086613145,-0.0359527213976727
50,643,164,19,5,-0.0066,-0.0576,-0.1072,-0.1405,0.1151,0.0818,0.0657435696147246,0.132930661748451
51,638,169,19,5,0.1727,0.1844,0.1592,0.1648,0.1902,0.1786,-0.0421238667563352,-0.058008003706894
52,612,195,18,6,0.0998,0.0859,0.1769,0.1637,0.1113,0.0825,0.274150970551444,0.248115746900572
53,635,172,19,5,0.0536,0.0349,0.031,0.0159,0.143,0.139,-0.0946162906768914,-0.0362500641784447
54,643,164,19,5,-0.3144,-0.3095,-0.3423,-0.3292,-0.3508,-0.3297,-0.306738137154453,-0.285843714888654
55,632,175,19,5,-0.3466,-0.3166,-0.2197,-0.1975,-0.2709,-0.2451,0.103827287162295,0.0943411754011933
56,644,163,19,5,-0.2339,-0.2439,-0.2849,-0.2898,-0.209,-0.2443,-0.388920955492777,-0.386049067300601
57,634,173,19,5,0.0172,0.0256,-0.0616,-0.0415,0.038,0.0192,-0.172632948785451,-0.156112192887458
58,637,170,19,5,-0.2159,-0.2017,-0.1578,-0.1451,-0.1868,-0.1919,0.16608528619891,0.134058035783249
59,638,169,19,5,0.2281,0.2101,0.2257,0.2354,0.2268,0.238,-0.167727911337195,-0.222358282238214
60,635,172,19,5,-0.1547,-0.1534,-0.1841,-0.1695,-0.1729,-0.1769,0.130670917540496,0.0956473545405718
61,640,167,19,5,-0.2456,-0.2508,-0.2609,-0.2678,-0.2701,-0.2807,0.0566046263605127,0.0384395124989693
62,611,196,18,6,-0.2088,-0.1656,-0.1011,-0.0988,-0.0797,-0.0846,-0.161888329672968,-0.163003853596473
63,634,173,19,5,0.138,0.1335,0.0282,0.0022,0.1001,0.0962,-0.151507443046915,-0.0695986446406194
64,638,169,19,5,-0.1204,-0.1393,-0.0859,-0.1025,-0.1579,-0.1838,0.13244863058587,0.131565894164995
65,633,174,19,5,0.0244,-0.0042,-0.0193,-0.0642,-0.0203,-0.0157,-0.328913162691643,-0.341723872267725
66,634,173,19,5,-0.3242,-0.2866,-0.4351,-0.4196,-0.3296,-0.2623,-0.0212294624319803,-0.0173905183270557
67,635,172,19,5,-0.1026,-0.0776,-0.0852,-0.0701,-0.1093,-0.0904,0.061587421989382,0.0322759815070994
68,645,162,19,5,0.0754,0.0683,0.0108,0.024,-0.0072,-0.0318,0.184304829478466,0.190145119282244
69,641,166,19,5,0.1103,0.0505,0.0869,0.0446,0.0072,-0.0263,0.102372701937846,0.0903643304044032
70,634,173,19,5,0.0025,-0.008,-0.0263,-0.03,0.0197,0.0042,-0.415014905647075,-0.455877257805611
71,633,174,19,5,-0.3589,-0.3483,-0.3984,-0.3484,-0.2869,-0.2425,-0.242902936554164,-0.181793847761685
72,637,170,19,5,0.0881,0.104,0.035,0.0862,0.1827,0.2022,0.0126133177460653,0.0641282125290555
73,613,194,18,6,0.2508,0.2275,0.1857,0.1984,0.3112,0.3077,0.226925104435583,0.256156903019735
74,636,171,19,5,0.2665,0.2887,0.1803,0.191,0.3299,0.3577,-0.186205864388548,-0.219246402146648
75,637,170,19,5,-0.0213,0.0038,-0.083,-0.0621,0.0389,0.076,0.0806295441847301,0.0919682863440738
76,634,173,19,5,-0.4232,-0.3989,-0.3992,-0.3727,-0.4867,-0.4515,-0.0721561401231761,-0.0493011042489902
77,634,173,19,5,0.0952,0.0969,-0.035,-0.0199,0.1356,0.1476,-0.111086394311992,-0.0985650654515312
78,613,194,18,6,0.1293,0.1085,0.091,0.0641,0.0966,0.0743,-0.0175714390661988,0.0357713876101983
79,636,171,19,5,0.0502,0.0312,0.008,0.0062,0.172,0.1238,-0.311944250689567,-0.320632389769174
80,638,169,19,5,0.1496,0.1412,0.1023,0.0827,0.1681,0.1451,0.00720057604493518,0.0215356137432396
81,634,173,19,5,0.0319,0.058,0.1562,0.1857,0.164,0.1774,-0.0126584967931075,-0.037848634474508
82,634,173,19,5,-0.4961,-0.4918,-0.529,-0.53,-0.4795,-0.4654,0.0681522762559383,0.0724775996795648
83,635,172,19,5,-0.2111,-0.2257,-0.2288,-0.2283,-0.2194,-0.2246,-0.0952448189180607,-0.0100106545421622
84,634,173,19,5,-0.094,-0.112,-0.065,-0.0795,0.002,-0.0227,0.153219341432767,0.153180299881006
85,637,170,19,5,0.1584,0.1621,0.1703,0.1613,0.1808,0.1688,0.200410984289967,0.234056391019465
86,615,192,18,6,-0.2219,-0.2312,-0.2686,-0.2766,-0.1642,-0.161,-0.338520712756187,-0.263781857590845
87,634,173,19,5,0.0954,0.0961,0.0586,0.0621,0.1419,0.1581,-0.0950157303824036,-0.04602180976471
88,638,169,19,5,-0.0927,-0.1088,-0.1865,-0.1879,0.0741,0.048,-0.308175152545438,-0.302238052942653
89,636,171,19,5,-0.1759,-0.2127,-0.1548,-0.1994,-0.1432,-0.1817,-0.0400535093802284,-0.0953702721456841
90,642,165,19,5,0.1642,0.1824,0.2501,0.2777,0.3174,0.3195,-0.165821567011689,-0.163199825025148
91,633,174,19,5,0.1927,0.2011,0.1908,0.2046,0.3031,0.3028,-0.00562818554398328,-0.0168763971780167
92,641,166,19,5,0.2475,0.21,0.2551,0.2218,0.33,0.264,0.196604190161573,0.240550906019224
93,634,173,19,5,-0.4177,-0.3987,-0.3404,-0.3251,-0.3196,-0.3107,0.275083388487515,0.285520746621093
94,638,169,19,5,-0.1974,-0.2091,-0.2412,-0.2295,0.0468,0.0129,-0.00388713472377563,0.0401059181751275
95,613,194,18,6,0.0179,-0.0108,0.0335,-0.0155,-0.0049,-0.0454,0.0617853590575269,0.0460325646327064
96,634,173,19,5,0.1781,0.1673,0.1203,0.1338,0.1701,0.1476,0.218081621142085,0.211271809194357
97,638,169,19,5,0.0043,-0.028,0.045,0.0036,0.0373,0.0005,0.142452897762823,0.148684188736545
98,619,188,18,6,-0.01,0.007,-0.0682,-0.0456,-0.0262,-0.0233,0.141003426061626,0.115578983383065
99,638,169,19,5,-0.2046,-0.191,-0.1258,-0.1077,-0.1737,-0.1593,0.0266795983404145,0.0227950688304472
100,639,168,19,5,0.1632,0.1468,0.2303,0.2224,0.2854,0.269,0.2135350498345,0.191733010636428
