seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,614,195,19,6,0.3614,0.3663,0.3859,0.3822,0.2836,0.2885,0.448455712564663,0.468810880296495
2,613,196,19,6,0.2142,0.1916,0.2615,0.2533,0.1818,0.173,0.355613862815689,0.332308141016436
3,620,189,19,6,0.2653,0.2502,0.1782,0.1887,0.1422,0.1485,0.0398115223151881,0.0393725070569226
4,616,193,19,6,0.2425,0.2319,0.2657,0.2443,0.165,0.1546,-0.0262418898216027,-0.00269835135992414
5,617,192,19,6,0.3725,0.4138,0.3118,0.3178,0.3327,0.3543,0.461387710224991,0.482609945147268
6,642,167,20,5,0.3051,0.2979,0.3196,0.3026,0.3133,0.306,-0.119510269248863,-0.121103512959408
7,637,172,20,5,0.225,0.2836,0.2197,0.3014,0.2004,0.2416,0.473685018296963,0.48205659747283
8,647,162,20,5,-0.0461,-0.0282,-0.042,-0.0118,-0.1134,-0.1061,0.150952419121977,0.141027169952265
9,634,175,20,5,0.3725,0.3897,0.3941,0.3861,0.367,0.3699,0.367690865668654,0.317347631092904
10,637,172,20,5,0.305,0.3145,0.3188,0.3622,0.2895,0.3116,0.3822538615207,0.382247577364807
11,641,168,20,5,0.2027,0.1593,0.2122,0.1441,0.2306,0.1844,0.318627882401838,0.330304926549776
12,643,166,20,5,0.1051,0.0713,0.1181,0.1115,0.1835,0.168,0.426788306578426,0.458651345672612
13,618,191,19,6,0.0427,0.0674,0.0609,0.0887,0.0573,0.0733,0.343736036033532,0.366643631690949
14,641,168,20,5,0.1828,0.1563,0.1116,0.0975,0.0766,0.0732,0.47455271920852,0.498419467509928
15,645,164,20,5,0.1177,0.1503,0.0469,0.0893,-0.0309,-0.0152,0.04319315289032,0.152973775926392
16,641,168,20,5,0.442,0.4323,0.4619,0.4718,0.3689,0.3502,0.34701931894572,0.346314386173555
17,645,164,20,5,0.2835,0.2575,0.3919,0.3635,0.2502,0.216,0.36282933750787,0.396705592057076
18,639,170,20,5,0.1388,0.117,0.1654,0.1469,0.0938,0.0684,0.0848929099246786,0.136211113181164
19,640,169,20,5,0.3787,0.3608,0.3533,0.347,0.3138,0.2882,0.147816113616534,0.136935095802756
