seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,4079,1044,31,8,0.4964,0.4973,0.5333,0.5344,0.5027,0.5015,0.48615570414728,0.485744647773038
2,4053,1070,31,8,0.4469,0.4375,0.4851,0.4697,0.4552,0.4492,0.543633502070702,0.52716156520853
3,3973,1150,30,9,0.4841,0.4925,0.5382,0.5509,0.4583,0.4643,0.602115097251768,0.603873736195419
4,4073,1050,31,8,0.5098,0.4976,0.6095,0.5913,0.4983,0.4805,0.557577219587147,0.538875776853419
5,4087,1036,31,8,0.4888,0.4727,0.5294,0.5099,0.5123,0.4952,0.48109278486365,0.463344635029309
6,4069,1054,31,8,0.4102,0.4118,0.3924,0.3881,0.4395,0.4373,0.516988397171546,0.527672494618863
7,4032,1091,31,8,0.485,0.4678,0.5321,0.5091,0.5343,0.5184,0.560804916867068,0.544146242486926
8,4007,1116,30,9,0.4546,0.4662,0.4593,0.4695,0.4444,0.4562,0.506861516052381,0.524249269219049
9,4040,1083,31,8,0.4254,0.4233,0.5262,0.5276,0.3819,0.3821,0.496710014647862,0.490750851802807
10,4057,1066,31,8,0.4398,0.4415,0.5698,0.5677,0.4625,0.4619,0.563967107228712,0.563635978491255
11,4075,1048,31,8,0.511,0.5155,0.5791,0.582,0.5241,0.5258,0.597455313232749,0.615274641331867
12,4079,1044,31,8,0.5272,0.5259,0.5692,0.5609,0.5093,0.5148,0.603955428345909,0.623678577022137
13,4097,1026,31,8,0.4634,0.4776,0.5695,0.5848,0.4619,0.4777,0.539992549903667,0.571991766798696
14,4065,1058,31,8,0.4783,0.4617,0.556,0.547,0.4835,0.4663,0.62146181050543,0.606646115361227
15,4054,1069,31,8,0.5256,0.5346,0.5707,0.578,0.5213,0.5296,0.593860067573228,0.61986611372044
16,4047,1076,31,8,0.386,0.3682,0.4498,0.4331,0.3599,0.3363,0.595188332544968,0.598110455925571
17,4091,1032,31,8,0.4091,0.4181,0.4603,0.4675,0.4179,0.4237,0.559931409442298,0.572953765632091
18,4054,1069,31,8,0.4969,0.5005,0.5267,0.5288,0.5077,0.5078,0.522146419493923,0.515405589483803
19,4038,1085,31,8,0.4049,0.3841,0.4704,0.4539,0.4308,0.4173,0.596501597356731,0.598888895879104
20,4070,1053,31,8,0.4675,0.4552,0.5904,0.584,0.4491,0.4385,0.610038706283611,0.591033369475224
