seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,4079,1044,31,8,0.435,0.42,0.5382,0.5151,0.4245,0.3987,0.440194025676756,0.421091724753852
2,4053,1070,31,8,0.4684,0.4543,0.4771,0.4584,0.4647,0.4466,0.576934975021774,0.569649231921464
3,3973,1150,30,9,0.5367,0.5311,0.557,0.5492,0.5272,0.5202,0.627240655371079,0.631162884684668
4,4073,1050,31,8,0.3728,0.3699,0.4841,0.4893,0.3477,0.3443,0.497309298284785,0.471233890839564
5,4087,1036,31,8,0.4435,0.4192,0.5613,0.5285,0.4545,0.4198,0.512521394432467,0.482011697886562
6,4069,1054,31,8,0.3817,0.3627,0.4096,0.3878,0.3887,0.3662,0.508100008429772,0.475285618916194
7,4032,1091,31,8,0.5097,0.5034,0.5596,0.5492,0.5215,0.513,0.55394434773057,0.529916852995252
8,4007,1116,30,9,0.4363,0.4198,0.4594,0.4307,0.4213,0.3971,0.524190288728494,0.496331541941114
9,4040,1083,31,8,0.4352,0.4292,0.5605,0.5544,0.3868,0.3795,0.579779346196691,0.583860395637344
10,4057,1066,31,8,0.4299,0.4286,0.5544,0.5526,0.4765,0.4819,0.660690156714529,0.633401149354733
11,4075,1048,31,8,0.4817,0.4884,0.5341,0.5298,0.5011,0.502,0.504058922766693,0.484704130069693
12,4079,1044,31,8,0.5551,0.5587,0.6133,0.6077,0.5413,0.5451,0.580340062987509,0.568380378041119
13,4097,1026,31,8,0.5387,0.5361,0.5988,0.5962,0.5222,0.5201,0.486124422672654,0.48693421726903
14,4065,1058,31,8,0.5116,0.5013,0.5458,0.5407,0.5152,0.5065,0.583244315618081,0.562287489366083
15,4054,1069,31,8,0.4772,0.4792,0.5088,0.498,0.4816,0.48,0.581240259696324,0.572935896081135
16,4047,1076,31,8,0.464,0.4622,0.5005,0.4955,0.4682,0.4646,0.648472337925321,0.632209240665958
17,4091,1032,31,8,0.427,0.4277,0.4941,0.4935,0.4568,0.4587,0.551779709783569,0.538803814216655
18,4054,1069,31,8,0.4301,0.4131,0.5323,0.5148,0.4305,0.4088,0.622545470459056,0.60768353657229
19,4038,1085,31,8,0.405,0.4039,0.4555,0.4491,0.4532,0.4507,0.495138528708017,0.490309422471936
20,4070,1053,31,8,0.5139,0.5215,0.6112,0.6156,0.5055,0.5128,0.62654566117629,0.616171713770319
21,4038,1085,31,8,0.5447,0.546,0.6038,0.5981,0.5356,0.5385,0.643113167087007,0.636843676515689
22,4007,1116,30,9,0.5307,0.5302,0.6013,0.6039,0.5299,0.5283,0.494010085805466,0.473568381334697
23,4057,1066,31,8,0.4674,0.4538,0.6108,0.5907,0.4977,0.4778,0.590446205669637,0.583718921562375
24,4033,1090,31,8,0.4899,0.4764,0.5605,0.547,0.5182,0.4929,0.522046115036329,0.502880611485498
25,4083,1040,31,8,0.4911,0.4874,0.541,0.542,0.4859,0.477,0.579561176375728,0.582172675561317
26,4085,1038,31,8,0.4903,0.4835,0.5588,0.5531,0.4993,0.4927,0.660899786471986,0.644528796264301
27,4059,1064,31,8,0.4028,0.3932,0.4833,0.4714,0.3973,0.3833,0.379051870430663,0.361883546776714
28,4058,1065,31,8,0.4738,0.4698,0.5571,0.5562,0.4707,0.4641,0.405939080283842,0.388956186125748
29,4085,1038,31,8,0.4916,0.4848,0.5903,0.5908,0.4965,0.4896,0.459251799611562,0.462625637049598
30,4051,1072,31,8,0.3514,0.3332,0.3893,0.376,0.4017,0.3837,0.532766723742074,0.520610613756712
31,4043,1080,31,8,0.4968,0.4896,0.5564,0.5477,0.5075,0.493,0.632240051207179,0.624901084662307
32,4002,1121,30,9,0.331,0.3098,0.386,0.3669,0.2971,0.2743,0.52002010967282,0.4957812496462
33,4012,1111,30,9,0.4668,0.4586,0.5501,0.5288,0.4674,0.4511,0.584128222631108,0.552365337550954
34,4072,1051,31,8,0.4395,0.4421,0.5895,0.5935,0.5091,0.5068,0.385560748053332,0.376433717388412
35,4058,1065,31,8,0.4873,0.4824,0.5746,0.5604,0.474,0.4657,0.469094657318102,0.444807554083283
36,4064,1059,31,8,0.4584,0.4539,0.5219,0.5003,0.4816,0.4644,0.399961823988697,0.379827014422193
37,4061,1062,31,8,0.5011,0.4863,0.5302,0.5089,0.4979,0.481,0.522468348558314,0.508209717963865
38,4034,1089,31,8,0.4365,0.4143,0.4652,0.4467,0.415,0.3894,0.573811758527514,0.563735844178709
39,4033,1090,31,8,0.5003,0.494,0.5608,0.549,0.505,0.4963,0.471106534928395,0.457798395538471
40,4038,1085,31,8,0.4867,0.4649,0.5505,0.5275,0.4798,0.4503,0.451076064904473,0.415624734234126
41,4087,1036,31,8,0.4491,0.4421,0.4622,0.4603,0.4511,0.4358,0.525958185404622,0.514669400224869
42,4087,1036,31,8,0.4493,0.4277,0.5246,0.5005,0.4281,0.4017,0.6001209127777,0.593219084856936
43,4051,1072,31,8,0.4815,0.4833,0.542,0.5498,0.4729,0.4728,0.529930597696441,0.536390914286
44,4061,1062,31,8,0.4804,0.4713,0.5604,0.5512,0.504,0.4946,0.590822561731832,0.588287485347581
45,4053,1070,31,8,0.4473,0.43,0.5116,0.4929,0.4611,0.4423,0.574827621972585,0.568702286736128
46,4067,1056,31,8,0.5021,0.5052,0.5461,0.5531,0.5022,0.5021,0.508985254476161,0.501466810003443
47,4079,1044,31,8,0.5728,0.5677,0.6274,0.6218,0.551,0.5404,0.586033234692214,0.587982912877309
48,4084,1039,31,8,0.4694,0.4568,0.5283,0.5052,0.4735,0.4569,0.378950593870688,0.381301230842116
49,4027,1096,31,8,0.4817,0.4748,0.5107,0.4922,0.4647,0.4595,0.58573590832665,0.580788883262221
50,4044,1079,31,8,0.3416,0.3371,0.394,0.3974,0.3313,0.324,0.544960615753874,0.534184587788383
51,4089,1034,31,8,0.3853,0.3771,0.4701,0.4496,0.3552,0.3441,0.541532699190093,0.505076365582833
52,4065,1058,31,8,0.4807,0.4696,0.5175,0.5096,0.5198,0.5086,0.590337406432195,0.588929815230409
53,4081,1042,31,8,0.4777,0.4656,0.5327,0.5244,0.5208,0.5091,0.555590151409703,0.542264442510078
54,3996,1127,30,9,0.3359,0.3215,0.4126,0.3923,0.3306,0.3097,0.512912768537458,0.488997110933397
55,4043,1080,31,8,0.4934,0.4924,0.5774,0.5751,0.4768,0.477,0.620047619369526,0.596139644670259
56,4068,1055,31,8,0.4254,0.4203,0.4776,0.4676,0.472,0.4646,0.536093657397294,0.519631463692519
57,4077,1046,31,8,0.4739,0.4763,0.5054,0.4955,0.4601,0.4532,0.460299780723274,0.442369990993071
58,4042,1081,31,8,0.5646,0.564,0.5936,0.5891,0.5791,0.5743,0.481779134666793,0.467983352532539
59,4073,1050,31,8,0.3742,0.3884,0.4729,0.4893,0.36,0.3695,0.521692300549704,0.4920235737761
60,4096,1027,31,8,0.5315,0.5342,0.5638,0.5611,0.546,0.5457,0.53073634928077,0.522770402267139
61,4074,1049,31,8,0.3601,0.3405,0.4296,0.4,0.3604,0.3345,0.592368161469877,0.567170679647263
62,3971,1152,30,9,0.4485,0.4389,0.5013,0.4928,0.4561,0.4445,0.488060958675974,0.464471318063206
63,4032,1091,31,8,0.4711,0.4643,0.5766,0.5599,0.4679,0.4595,0.531255708346753,0.53780988997399
64,4047,1076,31,8,0.4233,0.4155,0.5427,0.5291,0.4387,0.4219,0.400814782844163,0.415563948833227
65,3986,1137,30,9,0.462,0.4441,0.5441,0.522,0.4709,0.4525,0.520743861786243,0.506178916821636
66,4049,1074,31,8,0.4975,0.4879,0.6068,0.5944,0.5056,0.499,0.648779708576978,0.632705119507938
67,4035,1088,31,8,0.4029,0.4037,0.4862,0.489,0.4021,0.3999,0.593059484977961,0.579175874335589
68,4060,1063,31,8,0.3646,0.3564,0.5171,0.4968,0.4533,0.4393,0.474057358748781,0.475271663937317
69,4048,1075,31,8,0.4112,0.3981,0.4436,0.4309,0.4431,0.4346,0.604843320469289,0.593536165557664
70,3990,1133,30,9,0.3981,0.3836,0.5022,0.4942,0.3836,0.3672,0.581456789110557,0.55229853977528
71,4085,1038,31,8,0.4422,0.4203,0.5208,0.4869,0.46,0.4295,0.487050916093819,0.478586636786642
72,4092,1031,31,8,0.4374,0.4293,0.453,0.4486,0.434,0.432,0.598462645549697,0.583741816632949
73,4058,1065,31,8,0.4968,0.4969,0.6077,0.6058,0.5296,0.5296,0.624351706420822,0.626148345184744
