seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,4081,1044,31,8,0.4157,0.4168,0.4954,0.4982,0.4423,0.4469,0.430182435712288,0.451515352333257
2,4055,1070,31,8,0.4403,0.4345,0.5138,0.5101,0.4622,0.4494,0.432663777500556,0.448134805493987
3,3974,1151,30,9,0.4375,0.4416,0.5088,0.5166,0.4137,0.4127,0.500713327234421,0.522284927106434
4,4074,1051,31,8,0.477,0.4744,0.5282,0.5121,0.4861,0.4784,0.581201222231265,0.594379382255477
5,4089,1036,31,8,0.4285,0.4254,0.4771,0.4675,0.4342,0.4299,0.444492230060232,0.45350272117911
6,4071,1054,31,8,0.303,0.3055,0.373,0.3821,0.3344,0.3426,0.549036986230522,0.553006193759296
7,4034,1091,31,8,0.387,0.385,0.4679,0.4641,0.3995,0.3986,0.608836469680457,0.613513241148505
8,4009,1116,30,9,0.4147,0.4312,0.4568,0.4838,0.4156,0.436,0.54969668058961,0.563854057305571
9,4042,1083,31,8,0.3716,0.3656,0.4695,0.4651,0.3772,0.3647,0.417455417002796,0.431885402341838
10,4059,1066,31,8,0.5097,0.5122,0.544,0.5422,0.5059,0.5046,0.507639536930959,0.498904466625401
11,4076,1049,31,8,0.4015,0.4018,0.4582,0.4549,0.3821,0.3751,0.436904605773935,0.425525270135346
12,4081,1044,31,8,0.2394,0.2375,0.3587,0.3494,0.2585,0.2509,0.450033563343256,0.440262002842124
13,4098,1027,31,8,0.3264,0.3341,0.4064,0.4137,0.3306,0.3369,0.408981567800944,0.408271227126061
14,4067,1058,31,8,0.4603,0.4182,0.5018,0.4633,0.4466,0.4028,0.542710030790915,0.515517337666255
15,4055,1070,31,8,0.3573,0.3414,0.3943,0.3801,0.3349,0.3201,0.449934779148879,0.446922691982884
16,4049,1076,31,8,0.3908,0.3985,0.4134,0.4159,0.3794,0.3893,0.461547561742278,0.445868870873085
17,4093,1032,31,8,0.2774,0.2782,0.3598,0.3655,0.2555,0.2569,0.413940892685987,0.420963024446711
18,4056,1069,31,8,0.5566,0.5755,0.5849,0.6006,0.5461,0.5635,0.494114836443399,0.50258210657978
19,4039,1086,31,8,0.3467,0.3517,0.4196,0.4204,0.37,0.3686,0.515816815880224,0.504780076996133
20,4072,1053,31,8,0.4547,0.4118,0.5294,0.4844,0.451,0.3997,0.553294602340771,0.559620471968198
21,4040,1085,31,8,0.4612,0.4373,0.5027,0.4682,0.4766,0.4506,0.547415455378765,0.541995910724297
22,4009,1116,30,9,0.4622,0.4372,0.5053,0.5054,0.4157,0.404,0.438000142809441,0.45897587457709
23,4059,1066,31,8,0.3502,0.3368,0.4145,0.4092,0.3672,0.3615,0.417093093499385,0.411319335297692
24,4035,1090,31,8,0.5034,0.5106,0.5421,0.5487,0.5123,0.518,0.414210124159671,0.414231891040832
25,4085,1040,31,8,0.24,0.231,0.3509,0.3432,0.2657,0.2567,0.412284240635562,0.399805595356799
26,4087,1038,31,8,0.3102,0.2991,0.3874,0.3721,0.2964,0.2883,0.459062484575303,0.459573714331213
27,4061,1064,31,8,0.5215,0.5198,0.5471,0.5426,0.5123,0.518,0.545721351049575,0.527231426586618
28,4060,1065,31,8,0.356,0.3592,0.4045,0.3991,0.348,0.3517,0.431359621384363,0.42582345102309
29,4086,1039,31,8,0.5292,0.5436,0.5816,0.5988,0.5207,0.5357,0.479964638536912,0.478475480130692
30,4051,1074,31,8,0.3818,0.3916,0.4182,0.4252,0.3647,0.3726,0.502336659576686,0.511547424500301
31,4045,1080,31,8,0.4869,0.4874,0.5128,0.5192,0.4789,0.4838,0.507430721571959,0.499721391862651
32,4004,1121,30,9,0.4006,0.3896,0.4832,0.4905,0.4591,0.454,0.516243467129698,0.529167586349341
33,4014,1111,30,9,0.3643,0.3637,0.409,0.4151,0.3651,0.3673,0.416201913958046,0.422247992268957
34,4074,1051,31,8,0.4715,0.4469,0.5088,0.4711,0.4578,0.432,0.546684425675599,0.544006457339467
35,4060,1065,31,8,0.5001,0.4799,0.5504,0.5258,0.5041,0.4797,0.473445140779608,0.470744443057751
36,4065,1060,31,8,0.5029,0.5186,0.5559,0.5738,0.5128,0.5371,0.431724871909815,0.442634557403009
37,4063,1062,31,8,0.5043,0.5165,0.546,0.5545,0.485,0.4827,0.611359944614428,0.618740710006289
38,4036,1089,31,8,0.3912,0.4092,0.4184,0.4242,0.4121,0.4305,0.416003239452788,0.399768093309539
39,4034,1091,31,8,0.4401,0.452,0.4877,0.5009,0.4678,0.4828,0.45741354127243,0.46198799170468
40,4039,1086,31,8,0.5025,0.5208,0.5302,0.5579,0.5259,0.5522,0.541118272579809,0.559019705888224
41,4088,1037,31,8,0.3873,0.3691,0.437,0.4213,0.3637,0.3484,0.413418793126814,0.407606113258386
42,4089,1036,31,8,0.5397,0.5432,0.5914,0.6002,0.5173,0.5124,0.530225020754623,0.540688655005522
43,4053,1072,31,8,0.5126,0.4838,0.5539,0.5119,0.5086,0.4746,0.402987933541932,0.392130119100398
44,4062,1063,31,8,0.3841,0.3883,0.4239,0.4266,0.3777,0.3847,0.472605940393182,0.454055629753367
45,4055,1070,31,8,0.5001,0.5004,0.5204,0.5124,0.5076,0.5003,0.434855571946626,0.427373034693133
46,4069,1056,31,8,0.3744,0.3582,0.4049,0.3864,0.3699,0.3535,0.37544129753296,0.362058396384166
47,4080,1045,31,8,0.331,0.3188,0.4179,0.4057,0.3428,0.3363,0.428444868357428,0.429985772741737
48,4085,1040,31,8,0.4378,0.4243,0.5079,0.5055,0.4615,0.4544,0.478650523502463,0.45793242824981
49,4029,1096,31,8,0.4366,0.4334,0.5308,0.533,0.4628,0.4576,0.428827119534306,0.427124829801645
50,4045,1080,31,8,0.4457,0.4281,0.4892,0.4629,0.4488,0.4249,0.587233578066546,0.589235145046614
51,4091,1034,31,8,0.4734,0.4723,0.4905,0.4871,0.4553,0.4502,0.400908719438149,0.400252826965691
52,4067,1058,31,8,0.3752,0.3535,0.4937,0.4797,0.3971,0.3752,0.443404631479706,0.461001787723835
53,4083,1042,31,8,0.4452,0.4419,0.4908,0.4923,0.428,0.4284,0.511713837168934,0.513735295951277
54,3998,1127,30,9,0.381,0.3726,0.4585,0.4474,0.4042,0.3999,0.534493969299781,0.528913486322568
55,4045,1080,31,8,0.4063,0.389,0.4174,0.4069,0.3899,0.3804,0.46216574656925,0.438942688988881
56,4070,1055,31,8,0.2968,0.2864,0.3858,0.3733,0.3061,0.2948,0.399441991889849,0.399404347106001
57,4077,1048,31,8,0.4189,0.4253,0.4628,0.4637,0.4305,0.4372,0.400039040194368,0.414058583178758
58,4043,1082,31,8,0.3698,0.358,0.4141,0.3884,0.3741,0.362,0.49564352610578,0.488192145076748
59,4075,1050,31,8,0.4771,0.4658,0.5116,0.5035,0.4507,0.4394,0.519253332697989,0.526228476632926
60,4098,1027,31,8,0.4963,0.481,0.546,0.5302,0.4617,0.444,0.455424921285632,0.463144804926352
61,4076,1049,31,8,0.3822,0.3928,0.4545,0.4557,0.4204,0.4261,0.460429209417349,0.453398062900324
62,3972,1153,30,9,0.5519,0.5582,0.5826,0.5948,0.532,0.5394,0.520026701565641,0.527167406575727
63,4034,1091,31,8,0.5303,0.5422,0.5858,0.5977,0.5291,0.5423,0.506145420124041,0.516742312477466
64,4049,1076,31,8,0.5673,0.5617,0.6137,0.5983,0.5194,0.5067,0.466528429403808,0.457307364545355
65,3987,1138,30,9,0.4924,0.5002,0.5745,0.5894,0.5239,0.5351,0.522556402335426,0.533281566088649
66,4051,1074,31,8,0.3837,0.3565,0.4122,0.3889,0.3657,0.3488,0.52716501836956,0.519063004929548
67,4037,1088,31,8,0.2691,0.2626,0.3207,0.307,0.2657,0.2605,0.587819078876491,0.559363972387422
68,4062,1063,31,8,0.4546,0.4676,0.512,0.5076,0.478,0.4836,0.469754662367535,0.463212261768124
69,4049,1076,31,8,0.4152,0.3912,0.4974,0.4741,0.4382,0.4098,0.551917414151614,0.538431871799149
70,3992,1133,30,9,0.522,0.5275,0.5122,0.5232,0.4861,0.4952,0.533974074228508,0.542830618133045
71,4087,1038,31,8,0.4767,0.4655,0.522,0.5226,0.4884,0.4798,0.421732198695515,0.42970738737079
72,4093,1032,31,8,0.3488,0.3365,0.3906,0.3747,0.3652,0.3555,0.473440480268949,0.461401077478392
73,4059,1066,31,8,0.2587,0.2549,0.3844,0.3889,0.2804,0.2749,0.519204327123649,0.539576878133471
74,4044,1081,31,8,0.5191,0.5382,0.561,0.5786,0.5207,0.5431,0.51228200193971,0.519517252719749
75,4082,1043,31,8,0.4919,0.4959,0.5314,0.5344,0.4929,0.4953,0.501919312700552,0.521657876372864
76,4060,1065,31,8,0.3849,0.3766,0.4002,0.3941,0.3744,0.3684,0.339724829029991,0.345127869778842
77,4037,1088,31,8,0.482,0.5094,0.5461,0.5632,0.4761,0.4925,0.496308510732931,0.491648464249925
78,4071,1054,31,8,0.2587,0.2489,0.3596,0.3525,0.2573,0.2474,0.388036399562762,0.392307182661924
79,4055,1070,31,8,0.3699,0.3681,0.3741,0.3691,0.2827,0.2826,0.477747399745441,0.479979758001878
80,4071,1054,31,8,0.5518,0.5508,0.5695,0.5648,0.5401,0.5389,0.55285054035132,0.54578494571099
81,4048,1077,31,8,0.4232,0.4304,0.4829,0.4833,0.3836,0.3894,0.413469400365906,0.405946329309441
82,4040,1085,31,8,0.4066,0.4177,0.4687,0.4863,0.3701,0.3717,0.588620552872988,0.567934705560308
83,4070,1055,31,8,0.519,0.5071,0.5356,0.5258,0.5047,0.4949,0.51171434001122,0.514486720283064
84,4033,1092,31,8,0.4966,0.4835,0.5111,0.5005,0.4783,0.4732,0.454921181210948,0.438904437373183
85,4062,1063,31,8,0.4697,0.4682,0.5256,0.5267,0.4419,0.4348,0.52323132264114,0.511428161466192
86,4078,1047,31,8,0.3851,0.367,0.4168,0.3994,0.3771,0.3652,0.484563887539774,0.485516911189739
87,4059,1066,31,8,0.4532,0.4685,0.4882,0.5004,0.4597,0.4749,0.497657207289452,0.503790932020929
88,3981,1144,30,9,0.4475,0.4393,0.4748,0.4657,0.4317,0.4212,0.421387060441917,0.413964572442763
89,4060,1065,31,8,0.4143,0.4202,0.4554,0.4626,0.4058,0.4137,0.536733710822206,0.525326742690799
90,4091,1034,31,8,0.438,0.4422,0.4918,0.4964,0.4461,0.4471,0.440469104525467,0.437137905804938
91,4040,1085,31,8,0.4817,0.4978,0.5196,0.536,0.4699,0.4856,0.587050624753178,0.579846603558247
92,3966,1159,30,9,0.4108,0.3992,0.4185,0.408,0.3867,0.3748,0.382983189306639,0.394680783136691
93,3991,1134,30,9,0.4501,0.4368,0.4831,0.468,0.4809,0.4678,0.420291332291071,0.42445037458614
94,4077,1048,31,8,0.4882,0.4857,0.5431,0.5358,0.4741,0.4635,0.486453585078189,0.491199216246428
95,4043,1082,31,8,0.3473,0.3536,0.391,0.3951,0.346,0.353,0.541894322927528,0.510727815173945
96,4068,1057,31,8,0.4195,0.4212,0.4882,0.4983,0.4407,0.4434,0.503005186293776,0.517163235088031
97,4037,1088,31,8,0.5215,0.5343,0.5631,0.5665,0.5066,0.5114,0.587831523814279,0.598180651032427
98,3969,1156,30,9,0.4288,0.4321,0.5028,0.5185,0.459,0.4669,0.47017645564955,0.477575084289384
99,4052,1073,31,8,0.5118,0.5172,0.5756,0.5795,0.4961,0.4965,0.480129225808797,0.483329692250241
100,3982,1143,30,9,0.4662,0.4656,0.5006,0.5022,0.4402,0.4358,0.508514454264707,0.512437344723967
