seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,1265,332,31,8,0.1851,0.1676,0.2462,0.2349,0.2403,0.2204,0.211955414262988,0.209499209050179
2,1266,331,32,7,0.1201,0.1093,0.1376,0.134,0.1255,0.1357,0.164465398409963,0.159474180435983
3,1250,347,29,10,0.1701,0.1654,0.2476,0.2314,0.1886,0.18,0.138593265931823,0.112402560867792
4,1276,321,31,8,0.1942,0.2078,0.2364,0.2522,0.2326,0.2482,0.203862286149216,0.241353698320227
5,1269,328,32,7,0.0759,0.0608,0.1031,0.0906,0.1229,0.1047,0.112346277866272,0.0893714067103061
6,1263,334,32,7,0.1371,0.1324,0.1827,0.1749,0.0897,0.0865,0.147059672279986,0.147301314107031
7,1270,327,32,7,0.0267,0.0295,0.0364,0.0361,0.0686,0.0831,0.190491031809624,0.190869461065097
8,1255,342,30,9,-0.1577,-0.177,-0.0823,-0.1161,-0.1078,-0.1361,-0.131861471052239,-0.158492463902238
9,1256,341,31,8,0.0847,0.1113,0.0877,0.1233,0.0635,0.0869,0.0832206221046883,0.0952312282504682
10,1264,333,32,7,0.2417,0.2064,0.2411,0.2054,0.2233,0.178,0.236440818920343,0.213469046064854
11,1251,346,30,9,0.0931,0.0779,0.1328,0.1268,0.0839,0.0776,0.235769802070218,0.245925629138766
12,1258,339,29,10,-0.0812,-0.0991,-0.0167,-0.0289,-0.044,-0.0613,0.107231122756215,0.10026706578567
13,1237,360,30,9,0.1204,0.078,0.211,0.172,0.1679,0.1099,0.19396258515708,0.194990140403499
14,1238,359,31,8,0.0999,0.1171,0.0844,0.0914,0.1565,0.1838,0.27578225366808,0.291346979183061
15,1261,336,30,9,0.1669,0.1781,0.1728,0.1679,0.1719,0.1868,0.243810270290874,0.230118978597069
16,1263,334,31,8,0.1481,0.1438,0.1869,0.1816,0.1677,0.1525,0.274915261359169,0.287629828447839
17,1275,322,30,9,0.2187,0.1848,0.2358,0.2138,0.2159,0.1826,0.139339399824385,0.155668773188394
18,1247,350,29,10,0.1584,0.1626,0.1876,0.1913,0.1704,0.157,0.0987399388486688,0.117120370480138
19,1262,335,32,7,-0.0076,-0.0137,0.0826,0.066,-0.0053,-0.0106,0.222227795828136,0.211771776919666
20,1262,335,31,8,0.2532,0.2521,0.2358,0.2122,0.2661,0.2433,0.116352272835441,0.0704594940142698
21,1259,338,32,7,0.1124,0.0782,0.1477,0.1128,0.1266,0.0849,0.0894224154667374,0.0994620452168086
22,1257,340,29,10,0.0419,0.0397,0.0492,0.0347,0.0321,0.0343,0.0507858819865333,0.0458255872212741
23,1266,331,31,8,0.2817,0.2882,0.2776,0.2932,0.2625,0.2591,0.203437829922655,0.242504516847676
24,1261,336,32,7,0.1561,0.1649,0.1686,0.1823,0.1279,0.128,0.0750027350392047,0.0779004716073301
25,1270,327,30,9,0.1647,0.1718,0.1573,0.1596,0.199,0.2044,0.343603781345568,0.360776115362576
26,1276,321,31,8,0.2778,0.2663,0.287,0.2687,0.2538,0.2223,0.150410035780166,0.168770502925683
27,1244,353,30,9,0.1597,0.1846,0.207,0.2244,0.1738,0.1839,0.223901612733485,0.234295157044223
28,1250,347,29,10,0.1153,0.1109,0.2308,0.2279,0.1539,0.1435,0.226364094092613,0.212208895516897
29,1251,346,30,9,0.1367,0.0886,0.1906,0.1471,0.1882,0.1391,0.00271718158905484,-0.00777078065666826
30,1264,333,31,8,0.1334,0.1176,0.2375,0.2214,0.1699,0.145,0.087641605982551,0.10523723663943
31,1240,357,31,8,0.1428,0.1536,0.1593,0.1586,0.1317,0.1499,0.23237983993909,0.225289785787672
32,1253,344,29,10,0.0331,0.0569,0.058,0.0654,0.0216,0.0439,-0.0548189712907692,-0.0418042345761479
33,1261,336,29,10,0.096,0.0843,0.128,0.1123,0.1405,0.1308,0.0363705604963449,0.0421408658872745
34,1275,322,32,7,0.0959,0.0881,0.1473,0.1354,0.1099,0.0939,0.15356071116196,0.155511920339653
35,1261,336,31,8,0.2461,0.2657,0.3349,0.3479,0.2657,0.2825,0.13535744475605,0.127358540182691
36,1264,333,31,8,0.2909,0.2788,0.3078,0.297,0.309,0.2961,0.101223140593853,0.11702260502785
37,1259,338,32,7,-0.0044,0.0008,0.0354,0.0277,0.005,0.0053,0.0769417523344273,0.0571714921791327
38,1258,339,32,7,0.1492,0.1369,0.1878,0.1746,0.1782,0.1685,0.144583741458984,0.11784309000953
39,1256,341,31,8,0.2541,0.2455,0.246,0.2338,0.2949,0.2855,0.158067858082367,0.209088962581674
40,1224,373,31,8,0.1219,0.1365,0.1373,0.1414,0.1532,0.1552,0.0995095181264777,0.0975802642252347
41,1249,348,30,9,0.0569,0.0726,0.1094,0.1363,0.1342,0.1518,0.23856854605664,0.235602524332772
42,1268,329,31,8,0.2731,0.2867,0.3359,0.3376,0.2723,0.2835,0.156185882000262,0.129197729524486
43,1243,354,31,8,0.1508,0.1646,0.1499,0.1468,0.1728,0.1785,0.234375836224214,0.217371251676792
44,1263,334,30,9,0.0146,0.019,0.043,0.0537,0.0102,0.0163,0.0553375178148219,0.0758808482709586
45,1241,356,32,7,0.1071,0.1036,0.1239,0.1241,0.1207,0.1288,0.212443599331509,0.207676000550029
46,1256,341,32,7,0.1921,0.1963,0.2067,0.2138,0.2135,0.2118,0.335759947642157,0.348210140660928
47,1268,329,31,8,0.0898,0.0857,0.1361,0.1338,0.1302,0.1191,0.107438954170965,0.118862103909621
48,1249,348,30,9,0.1243,0.108,0.147,0.1387,0.2008,0.1784,0.233505159777945,0.23784526723312
49,1252,345,31,8,0.0255,0.0372,0.0441,0.0617,0.0245,0.0431,0.303816840088679,0.299049499355217
50,1261,336,31,8,0.1033,0.1111,0.0594,0.0546,0.1514,0.1477,0.169560495547399,0.164261508977998
51,1246,351,29,10,0.0329,0.041,0.0614,0.0831,0.0717,0.0866,0.294614796101767,0.293962544453815
52,1266,331,32,7,-0.0269,-0.001,0.0242,0.0299,-0.0262,-0.001,0.0533186114746271,0.0534244554789037
53,1230,367,32,7,0.0639,0.0785,0.0894,0.093,0.0897,0.114,0.0672480777375302,0.0549147526181331
54,1266,331,28,11,0.0244,0.0328,0.0706,0.0928,0.0629,0.0725,0.31213463232588,0.294950858676047
55,1260,337,32,7,0.0333,0.029,0.0715,0.0647,0.0859,0.0642,0.165878911721658,0.185549922242037
56,1269,328,31,8,0.1888,0.194,0.213,0.2094,0.1424,0.1444,0.22178193023369,0.213326203263362
57,1248,349,29,10,0.1444,0.1391,0.1957,0.1881,0.151,0.1435,0.161562238644995,0.155703127343544
58,1272,325,31,8,0.1701,0.19,0.2149,0.2266,0.2016,0.2089,0.0876917624754073,0.0988370101280068
59,1271,326,30,9,0.1783,0.1618,0.1893,0.1863,0.1927,0.1774,0.274110229868112,0.263830516811702
60,1227,370,30,9,0.1291,0.1233,0.1068,0.1004,0.126,0.1164,0.132555893058022,0.132612635151068
61,1269,328,31,8,0.2462,0.2442,0.2711,0.2729,0.2377,0.2367,0.343454133721046,0.332431276894217
62,1216,381,31,8,0.2253,0.2488,0.2522,0.2864,0.2441,0.2648,0.223900916910151,0.225996191110413
63,1254,343,32,7,0.0698,0.0589,0.18,0.1523,0.1045,0.0955,0.0764247964313939,0.0970263476477439
64,1274,323,32,7,0.0757,0.057,0.0414,0.0415,0.1014,0.103,0.088822775824532,0.0681854925440172
65,1263,334,28,11,0.132,0.1071,0.1752,0.1542,0.1199,0.1001,0.134530555861181,0.148575519748946
66,1224,373,32,7,-0.0001,-0.0011,-0.0038,-0.0044,0.0058,0.0091,0.0982113210967015,0.0876293284554225
67,1256,341,30,9,0.0968,0.1056,0.1759,0.1918,0.1166,0.126,0.262864671382802,0.261112412032273
68,1264,333,31,8,0.2945,0.3097,0.3455,0.3533,0.3206,0.3223,0.171528118964273,0.178469539408891
69,1228,369,31,8,0.197,0.1995,0.1651,0.159,0.1481,0.1376,0.1604470241706,0.164117770834295
70,1219,378,30,9,0.0605,0.078,0.0962,0.122,0.0942,0.1052,0.116430538222329,0.130347208922368
71,1267,330,31,8,0.1472,0.1466,0.1261,0.1365,0.2012,0.2121,0.171248990796428,0.175675270683482
72,1273,324,30,9,0.1895,0.2155,0.2104,0.2379,0.2252,0.2449,0.329789384800239,0.330496433884671
73,1258,339,31,8,-0.0308,-0.0211,0.0355,0.0422,-0.0711,-0.0494,0.0705020661173196,0.0854870531928988
74,1257,340,31,8,0.1878,0.2056,0.2874,0.2939,0.2089,0.2349,0.180106046189484,0.187348196146258
75,1265,332,31,8,0.0724,0.0694,0.1049,0.1104,0.1028,0.1002,0.0993651385802196,0.0948354450471483
76,1215,382,29,10,0.1245,0.1237,0.1152,0.1197,0.1563,0.1696,0.178735375169346,0.182253313083073
77,1226,371,31,8,0.1746,0.1783,0.1916,0.2047,0.1624,0.1533,0.0686470165737274,0.0887053479686143
78,1271,326,31,8,0.1631,0.1717,0.1947,0.1955,0.1658,0.1684,0.166242466645776,0.17203204253959
79,1232,365,31,8,0.0738,0.0722,0.1178,0.1318,0.0633,0.0604,0.118782285563885,0.135815542280141
80,1261,336,32,7,0.1947,0.2021,0.2244,0.2251,0.239,0.2355,0.315639961838638,0.332202671340863
81,1265,332,32,7,0.1644,0.1716,0.2404,0.2494,0.1655,0.1692,0.235310940383291,0.230531682077564
82,1257,340,31,8,0.1591,0.1405,0.1692,0.1384,0.0909,0.0726,0.103235027662436,0.104319652086878
83,1232,365,30,9,0.1387,0.1388,0.1307,0.137,0.1257,0.12,0.136227277614162,0.136054022223314
84,1259,338,33,6,0.148,0.1274,0.2228,0.1977,0.1789,0.1475,0.325211422778078,0.31414233043683
85,1265,332,31,8,0.2015,0.1661,0.2357,0.207,0.2566,0.2185,0.0519392702640636,0.0344774920649516
86,1277,320,31,8,-0.0121,0.008,-0.0229,-0.0029,0.0586,0.0925,-0.0191477802677013,-0.00638057475164109
87,1227,370,31,8,0.0686,0.0529,0.0513,0.0496,0.012,0.0083,0.033920545353876,0.0185610534269545
88,1264,333,30,9,0.0851,0.0895,0.1075,0.1193,0.0764,0.0822,0.185019712361021,0.163215514941539
89,1275,322,31,8,0.1152,0.1118,0.2041,0.198,0.2246,0.2209,0.246914379537537,0.27421669273391
90,1274,323,31,8,0.0459,0.0572,0.1146,0.1165,0.0334,0.0448,0.152087379770574,0.143072230699961
91,1256,341,31,8,0.0875,0.107,0.0868,0.1046,0.0867,0.0931,0.105579756919235,0.136821158773094
92,1264,333,31,8,0.0289,0.0487,0.0637,0.0694,0.0463,0.0532,0.0638957213390621,0.0636869700126442
93,1253,344,30,9,0.1629,0.1586,0.1653,0.164,0.1897,0.1798,0.201502835119989,0.196967583201979
94,1269,328,30,9,0.1883,0.183,0.275,0.2815,0.2385,0.2278,0.304280706838685,0.293194474862169
95,1271,326,31,8,0.1793,0.1628,0.1762,0.1625,0.1634,0.1367,0.0270977527701012,0.0295904301595123
96,1264,333,30,9,0.0266,0.036,0.0943,0.1048,0.0451,0.0465,0.154381511801197,0.14533501574267
97,1256,341,32,7,0.2034,0.1999,0.2274,0.2088,0.2437,0.235,0.309135378705264,0.277188971715928
98,1274,323,30,9,0.1234,0.1352,0.1757,0.1781,0.1218,0.1335,0.180154988525028,0.169049190999746
99,1262,335,29,10,0.0116,0.0203,0.0416,0.0443,0.067,0.0676,0.180757420928943,0.156645563307463
100,1253,344,31,8,0.1553,0.1684,0.1785,0.1799,0.1346,0.1424,0.263924698367714,0.258807668064556
