seed,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,gblup_pearson,gblup_spearman,pcr_pearson,pcr_spearman,bayesb_pearson,bayesb_spearman
1,1287,333,31,8,0.1438,0.1575,0.2086,0.2273,0.0908,0.0865,0.644960018582426,0.548774236939892
2,1278,342,32,7,0.008,0.0778,0.0604,0.1445,-0.0109,0.0509,0.133970005807967,0.100699053154879
3,1264,356,29,10,0.5135,0.5236,0.5585,0.5587,0.5068,0.5117,0.317049672669883,0.28776785444236
4,1294,326,31,8,0.5772,0.6167,0.5992,0.6417,0.5493,0.5679,0.45630061661958,0.369706351447809
5,1292,328,32,7,0.4847,0.4524,0.4891,0.447,0.3671,0.3693,0.595773822224487,0.577327880702245
6,1289,331,32,7,0.4332,0.4212,0.4632,0.4416,0.4131,0.4136,0.476029730326226,0.481820872671363
7,1278,342,32,7,-0.0688,-0.0607,-0.006,0.0061,-0.1073,-0.106,0.26166906814632,0.29188494427061
8,1280,340,30,9,0.3707,0.3516,0.3474,0.3319,0.4289,0.4024,0.13143376735183,0.132735117955282
9,1274,346,31,8,0.4594,0.4573,0.4871,0.4923,0.4521,0.441,0.0174537161793447,0.0221037274855064
10,1284,336,32,7,0.2212,0.2814,0.2413,0.2977,0.1535,0.2169,0.557165084256581,0.482253889075113
11,1294,326,31,8,0.1514,0.2226,0.1797,0.2465,0.1084,0.1749,0.417468644612412,0.375683106362694
12,1271,349,29,10,0.0299,0.0827,0.0317,0.0796,0.0397,0.0586,0.191370171164956,0.171929192608041
13,1259,361,30,9,0.3135,0.3127,0.3315,0.3454,0.3094,0.3198,0.599031036770482,0.613325708363476
14,1254,366,31,8,0.1081,0.0962,0.1263,0.1172,0.091,0.063,0.39422145324634,0.399930928422412
15,1278,342,30,9,0.2298,0.238,0.2778,0.2788,0.2293,0.2248,0.587326932983391,0.580240425825269
16,1281,339,31,8,0.4281,0.3422,0.4279,0.334,0.385,0.3386,0.448430239621269,0.489410232551254
17,1294,326,30,9,0.433,0.4589,0.4341,0.455,0.3924,0.4261,0.485350369467853,0.445735636666948
18,1262,358,29,10,0.5202,0.5249,0.5649,0.5541,0.4913,0.4936,0.528903895531524,0.427698187090915
19,1279,341,32,7,0.3788,0.3786,0.3854,0.3666,0.2957,0.3132,0.49891291795375,0.489554392049935
20,1286,334,31,8,0.4732,0.436,0.4843,0.4369,0.4724,0.4242,0.391878341858967,0.441556176630077
21,1279,341,32,7,0.2991,0.3073,0.2556,0.2753,0.2304,0.242,0.592211557555134,0.626664761060776
22,1280,340,29,10,0.3447,0.2897,0.3711,0.315,0.3466,0.3045,0.427521980340632,0.406654357353337
23,1282,338,31,8,0.4828,0.503,0.4415,0.4628,0.3969,0.4225,0.601760266590349,0.66504155896113
24,1278,342,32,7,0.4262,0.4642,0.4897,0.5283,0.3998,0.4313,0.423824632352122,0.326666563171244
25,1290,330,30,9,0.1981,0.1064,0.199,0.1287,0.2159,0.1489,0.361315608842334,0.255519761046264
26,1234,386,30,9,0.4211,0.4485,0.4765,0.5047,0.3961,0.4247,0.447522397995833,0.475848375984898
27,1285,335,31,8,0.2031,0.2269,0.2127,0.24,0.1669,0.2025,0.38829635874356,0.320496406701516
28,1283,337,30,9,0.1763,0.1908,0.1327,0.1494,0.1897,0.2078,0.261314653512134,0.195515592146988
29,1296,324,31,8,0.0383,0.0607,0.0294,0.0548,0.026,0.0539,0.32555028646594,0.34035792583294
30,1282,338,31,8,0.3988,0.4516,0.3997,0.4657,0.4457,0.4987,0.43486915569262,0.403025233276063
31,1247,373,31,8,0.1812,0.2058,0.1897,0.2128,0.2085,0.2348,-0.00669594872250344,0.00915875428457848
32,1278,342,29,10,0.309,0.2888,0.3134,0.2994,0.3335,0.3095,0.0767415071836982,0.0503608366571848
33,1282,338,29,10,0.4258,0.3911,0.3989,0.3505,0.4004,0.359,0.421619669512725,0.335866481606152
34,1294,326,32,7,0.3158,0.3269,0.3387,0.3505,0.2774,0.2837,0.691877558704627,0.716482396319502
35,1282,338,31,8,0.5375,0.5979,0.5894,0.6361,0.5429,0.5919,-0.0812237318512757,-0.0703800410028896
36,1287,333,31,8,0.3794,0.4016,0.4863,0.5071,0.3767,0.3775,0.43950440841006,0.359819666802746
37,1285,335,32,7,0.4017,0.3956,0.3987,0.3781,0.3851,0.3744,0.374239263765123,0.392760062996385
38,1277,343,32,7,0.2944,0.266,0.2943,0.2496,0.2709,0.249,0.424907842259489,0.365210691328648
39,1273,347,31,8,0.4231,0.4411,0.4487,0.4576,0.4056,0.4182,0.511527253978706,0.389196565015556
40,1242,378,31,8,0.4686,0.5288,0.555,0.608,0.4977,0.5368,-0.0790954317918641,-0.0222006013818687
41,1264,356,30,9,0.5035,0.5002,0.5099,0.5096,0.4941,0.489,0.569863331706035,0.555053799477732
42,1291,329,31,8,0.5173,0.5077,0.5889,0.5465,0.4746,0.4763,0.406787141516349,0.372909719001957
43,1253,367,31,8,0.3609,0.399,0.3883,0.4305,0.3945,0.4195,0.440032493347571,0.422008533327465
44,1279,341,30,9,0.3694,0.3937,0.3827,0.4099,0.386,0.4163,0.205337792868989,0.105595263830041
45,1258,362,32,7,0.1911,0.2292,0.2281,0.2691,0.1998,0.2172,0.336557342078662,0.279963727379204
46,1265,355,32,7,0.322,0.3113,0.3594,0.3317,0.3105,0.2948,0.667930409133707,0.673851404054943
47,1290,330,31,8,0.4783,0.4487,0.5072,0.4865,0.5076,0.4883,0.516187585326172,0.431035088711605
48,1294,326,31,8,0.2933,0.3078,0.2965,0.3116,0.2281,0.2379,0.628459459886107,0.524351027625602
49,1271,349,31,8,0.1172,0.1201,0.1508,0.1549,0.03,0.0516,0.166429223128326,0.199174232462646
50,1279,341,31,8,0.3852,0.4003,0.3566,0.3819,0.306,0.3177,0.491425154678469,0.498446220340891
51,1293,327,30,9,0.3806,0.3343,0.3533,0.332,0.3146,0.2862,0.0280289776482597,0.0306274033434513
52,1288,332,32,7,0.3644,0.3851,0.401,0.4361,0.3216,0.3436,0.290140013499806,0.243911696855564
53,1256,364,32,7,0.3119,0.3253,0.3594,0.3805,0.3297,0.3491,0.451496928567825,0.521390201523995
54,1284,336,28,11,0.4046,0.3467,0.3928,0.3419,0.3694,0.3438,0.153357780995833,0.129511600210113
55,1279,341,32,7,0.3953,0.3804,0.3878,0.3727,0.3061,0.3091,0.613893608400306,0.566569209872837
56,1293,327,31,8,0.4057,0.4478,0.46,0.5033,0.3968,0.4236,0.540327975298029,0.55807052041339
