location,trait,n,markers,h2
MI,yield,807,29131,0.3477
MO,yield,809,29131,0.3511
OHmc,yield,1597,29131,0.169
OHmi,yield,1620,29131,0.3716
KS,yield,3156,29131,0.2544
IA,yield,5109,29131,0.2125
IL,yield,5136,29131,0.1885
IN,yield,5040,29131,0.229
NE,yield,5125,29131,0.3171
IA,protein,3370,29131,0.4101
IL,protein,5130,29131,0.4595
IN,protein,5028,29131,0.3471
NE,protein,5123,29131,0.5431
IA,oil,3370,29131,0.3991
IL,oil,5130,29131,0.5441
IN,oil,5028,29131,0.4709
NE,oil,5123,29131,0.5841
