seed,projection,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,pcr_pearson,pcr_spearman,eff_rank,wall_clock_seconds
1,pca,4082,1048,31,8,0.407227,0.379545,0.425231,0.401405,,123.9
1,pls,4082,1048,31,8,0.351695,0.340555,0.341414,0.317344,100,169.2
1,pls_mm,4082,1048,31,8,0.364592,0.350335,0.341414,0.317344,100,213.6
1,screen_pca:2000,4082,1048,31,8,0.379897,0.34525,0.429129,0.387785,,216.1
1,hybrid:50,4082,1048,31,8,0.217944,0.178791,0.164699,0.138021,,218.3
1,bag:10,4082,1048,31,8,0.30397,0.256775,0.423788,0.397168,,225.0
2,pca,4059,1071,31,8,0.435769,0.430872,0.448206,0.446102,,116.9
2,pls,4059,1071,31,8,0.422155,0.423848,0.392474,0.395165,100,158.5
2,pls_mm,4059,1071,31,8,0.436652,0.437787,0.392474,0.395165,100,204.2
2,screen_pca:2000,4059,1071,31,8,0.437202,0.439276,0.462571,0.471088,,206.8
2,hybrid:50,4059,1071,31,8,0.310703,0.314378,0.330017,0.328817,,209.0
2,bag:10,4059,1071,31,8,0.391258,0.391166,0.446622,0.443807,,215.7
3,pca,3977,1153,30,9,0.533819,0.519025,0.542585,0.530055,,117.8
3,pls,3977,1153,30,9,0.435654,0.435127,0.412889,0.409464,100,160.0
3,pls_mm,3977,1153,30,9,0.45125,0.448204,0.412889,0.409464,100,205.3
3,screen_pca:2000,3977,1153,30,9,0.443052,0.439694,0.42774,0.423802,,208.2
3,hybrid:50,3977,1153,30,9,0.433505,0.418944,0.038923,0.321693,,210.6
3,bag:10,3977,1153,30,9,0.468655,0.461194,0.552783,0.538118,,218.0
4,pca,4077,1053,31,8,0.426959,0.408891,0.47323,0.45604,,123.7
4,pls,4077,1053,31,8,0.312392,0.311542,0.319466,0.307529,100,167.4
4,pls_mm,4077,1053,31,8,0.347794,0.342473,0.319466,0.307529,100,212.8
4,screen_pca:2000,4077,1053,31,8,0.407499,0.388668,0.432585,0.415112,,215.2
4,hybrid:50,4077,1053,31,8,0.324765,0.292648,-0.13626,0.166489,,217.3
4,bag:10,4077,1053,31,8,0.382311,0.362275,0.468708,0.451548,,224.4
5,pca,4093,1037,31,8,0.385,0.349998,0.407059,0.37028,,124.6
5,pls,4093,1037,31,8,0.387197,0.383596,0.378487,0.351403,100,170.3
5,pls_mm,4093,1037,31,8,0.418666,0.409455,0.378487,0.351403,100,217.3
5,screen_pca:2000,4093,1037,31,8,0.399225,0.377315,0.448423,0.427405,,219.8
5,hybrid:50,4093,1037,31,8,0.283903,0.275615,-0.017377,0.236439,,222.0
5,bag:10,4093,1037,31,8,0.352925,0.315417,0.410797,0.373484,,229.3
6,pca,4073,1057,31,8,0.38482,0.35498,0.359701,0.332154,,124.4
6,pls,4073,1057,31,8,0.198223,0.202881,0.163526,0.165394,100,168.6
6,pls_mm,4073,1057,31,8,0.222831,0.22659,0.163526,0.165394,100,213.8
6,screen_pca:2000,4073,1057,31,8,0.407928,0.375555,0.420603,0.371342,,216.3
6,hybrid:50,4073,1057,31,8,0.290795,0.257295,-0.071411,0.078559,,218.4
6,bag:10,4073,1057,31,8,0.29309,0.270603,0.378209,0.349508,,225.4
7,pca,4039,1091,31,8,0.392912,0.382987,0.400048,0.391713,,120.4
7,pls,4039,1091,31,8,0.333468,0.321509,0.301865,0.280456,100,164.3
7,pls_mm,4039,1091,31,8,0.348216,0.334076,0.301865,0.280456,100,210.1
7,screen_pca:2000,4039,1091,31,8,0.320674,0.305008,0.354795,0.326096,,212.7
7,hybrid:50,4039,1091,31,8,0.293745,0.281782,0.334013,0.31309,,214.9
7,bag:10,4039,1091,31,8,0.288167,0.27971,0.400256,0.392294,,222.0
8,pca,4012,1118,30,9,0.395664,0.369068,0.361563,0.33656,,118.3
8,pls,4012,1118,30,9,0.234837,0.239612,0.191538,0.210242,100,165.9
8,pls_mm,4012,1118,30,9,0.250732,0.252793,0.191538,0.210242,100,214.7
8,screen_pca:2000,4012,1118,30,9,0.348828,0.338704,0.349061,0.337563,,217.7
8,hybrid:50,4012,1118,30,9,0.322108,0.307194,-0.058101,0.214463,,220.1
8,bag:10,4012,1118,30,9,0.365375,0.339252,0.366682,0.342284,,227.1
9,pca,4048,1082,31,8,0.399244,0.384453,0.441943,0.427385,,122.2
9,pls,4048,1082,31,8,0.419603,0.410369,0.419022,0.396346,100,169.6
9,pls_mm,4048,1082,31,8,0.437889,0.426108,0.419022,0.396346,100,216.1
9,screen_pca:2000,4048,1082,31,8,0.422481,0.40019,0.445505,0.425642,,219.2
9,hybrid:50,4048,1082,31,8,0.330994,0.317607,0.364419,0.343015,,221.5
9,bag:10,4048,1082,31,8,0.341171,0.323466,0.468208,0.451833,,229.1
10,pca,4062,1068,31,8,0.529666,0.5047,0.560488,0.540404,,121.1
10,pls,4062,1068,31,8,0.38557,0.401363,0.387384,0.365135,100,168.0
10,pls_mm,4062,1068,31,8,0.419543,0.421234,0.387384,0.365135,100,218.5
10,screen_pca:2000,4062,1068,31,8,0.51666,0.49229,0.543011,0.521719,,221.6
10,hybrid:50,4062,1068,31,8,0.330797,0.313586,0.366981,0.341343,,224.0
10,bag:10,4062,1068,31,8,0.447383,0.422479,0.541354,0.52205,,232.7
11,pca,4081,1049,31,8,0.416535,0.407611,0.41684,0.405921,,125.5
11,pls,4081,1049,31,8,0.290619,0.287995,0.250106,0.243012,100,174.2
11,pls_mm,4081,1049,31,8,0.311601,0.307797,0.250106,0.243012,100,221.6
11,screen_pca:2000,4081,1049,31,8,0.390018,0.388981,0.410859,0.409094,,224.1
11,hybrid:50,4081,1049,31,8,0.314562,0.303331,-0.121806,0.219472,,226.2
11,bag:10,4081,1049,31,8,0.379807,0.368001,0.417267,0.406257,,233.2
12,pca,4085,1045,31,8,0.375891,0.37423,0.393793,0.38748,,125.7
12,pls,4085,1045,31,8,0.268909,0.268168,0.23878,0.215224,100,173.4
12,pls_mm,4085,1045,31,8,0.289252,0.283872,0.23878,0.215224,100,221.3
12,screen_pca:2000,4085,1045,31,8,0.37896,0.369185,0.385961,0.375861,,224.1
12,hybrid:50,4085,1045,31,8,0.204463,0.189119,0.067779,0.188354,,226.6
